MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",46.976582,148.276825,44.674923,2.440496,24.476593,23.241553,5,11
"chord_mrx_09_000001",96.381568,200.129245,93.656632,0.048221,0.000000,0.000000,1,2
"chord_mrx_09_000002",74.486655,182.143129,72.193890,6.825519,5.729323,11.610230,6,8
"chord_mrx_09_000003",54.096003,153.469388,48.448300,3.301327,18.917412,23.320992,7,11
"chord_mrx_09_000004",57.282438,236.088889,56.572303,13.494605,11.957456,15.540431,18,17
"chord_mrx_09_000005",62.893099,194.841000,60.052955,12.314145,3.901106,14.722909,19,16
"chord_mrx_09_000006",59.873209,183.771429,57.059036,5.663505,22.015147,11.287486,5,14
"chord_mrx_09_000007",74.686198,112.875102,69.820684,10.463241,7.111104,7.488620,9,8
"chord_mrx_09_000008",62.298096,171.101752,61.903101,16.141166,7.680645,11.096318,15,14
"chord_mrx_09_000009",73.773455,164.022857,73.613623,3.255044,14.428368,7.964961,9,12
"chord_mrx_09_000010",57.125798,149.394286,53.628581,17.186422,12.712929,12.623924,8,11
"chord_mrx_09_000011",71.546784,201.753890,68.430734,2.049433,10.098485,15.755394,11,15
"chord_mrx_09_000012",48.724022,147.513469,45.839838,20.613550,21.262096,7.601596,3,14
"chord_mrx_09_000013",64.535849,277.080816,62.955137,9.300137,16.023991,8.876526,11,13
"chord_mrx_09_000014",69.979173,263.332325,68.691748,6.619577,10.746574,8.116056,6,12
"chord_mrx_09_000015",63.615029,111.962523,63.429057,8.387679,15.287191,12.200197,10,14
"chord_mrx_09_000016",59.990961,107.637134,56.008897,10.251789,5.906183,23.282601,9,10
"chord_mrx_09_000017",0.746436,132.465487,0.000000,0.000000,90.751841,8.329065,8,9
"chord_mrx_09_000018",34.080496,101.459592,32.315909,42.862511,3.566356,8.853029,4,9
"chord_mrx_09_000019",44.997955,145.075374,41.090626,6.782275,30.371074,16.880469,5,8
"chord_mrx_09_000020",46.496455,129.509298,45.714244,5.537205,13.337382,30.447239,9,8
"chord_mrx_09_000021",72.756610,200.943000,70.579873,5.430312,14.671125,4.835022,6,7
"chord_mrx_09_000022",70.156519,157.152653,66.666648,1.529158,26.269450,1.393094,4,7
"chord_mrx_09_000023",74.186427,110.184490,70.358030,6.924825,8.044793,9.794629,4,11
"chord_mrx_09_000024",76.435416,154.652170,73.489950,7.319706,5.245309,10.717473,11,11
"chord_mrx_09_000025",66.906210,183.133000,65.394513,1.917736,23.871174,6.304195,9,11
"chord_mrx_09_000026",76.891710,170.912160,76.780296,1.360993,13.911952,5.581826,3,9
"chord_mrx_09_000027",75.617196,160.198986,73.955186,3.994810,12.369257,7.820593,6,9
"chord_mrx_09_000028",54.523604,337.995000,52.884137,8.693147,17.067577,17.516600,26,20
"chord_mrx_09_000029",52.033064,110.064000,50.311657,13.782982,14.883997,16.899217,10,16
"chord_mrx_09_000030",19.406266,121.376000,19.066164,0.000000,2.580191,1.199183,3,5
"chord_mrx_09_000031",20.272103,229.683084,19.816485,1.248695,72.431191,2.136749,3,6
