MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",81.884976,148.276825,80.239002,6.721724,7.925266,2.704709,5,8
"chord_mrx_09_000001",94.003119,200.129245,91.793731,3.941516,0.024984,1.044325,1,4
"chord_mrx_09_000002",87.161398,182.143129,85.069755,4.461443,3.200670,4.065850,6,7
"chord_mrx_09_000003",76.623455,153.469388,74.623721,4.711234,11.048248,3.317860,7,5
"chord_mrx_09_000004",70.972670,236.088889,70.758205,13.798651,6.477314,6.498082,18,22
"chord_mrx_09_000005",68.893097,194.841000,66.771881,13.223603,1.854333,9.141300,19,21
"chord_mrx_09_000006",73.148784,183.771429,70.748535,4.087499,22.160599,-0.000000,5,4
"chord_mrx_09_000007",79.189964,112.875102,74.844363,5.551696,10.839184,3.678638,9,9
"chord_mrx_09_000008",70.124243,171.101752,67.579629,12.909788,5.991210,10.340602,15,14
"chord_mrx_09_000009",87.099766,164.022857,86.787092,4.935468,3.247054,4.373962,9,11
"chord_mrx_09_000010",78.742295,149.394286,75.171686,6.061565,7.515713,7.402892,8,9
"chord_mrx_09_000011",75.627181,201.753890,73.449538,7.864296,5.774692,9.693186,11,10
"chord_mrx_09_000012",82.005437,147.513469,78.808042,7.417478,7.464114,2.832434,3,8
"chord_mrx_09_000013",73.753606,277.080816,72.573150,11.194505,7.298381,6.149035,11,15
"chord_mrx_09_000014",77.486344,263.332325,73.161456,11.206087,5.163983,2.213252,6,6
"chord_mrx_09_000015",69.319368,111.962523,68.898359,5.786953,10.549922,14.201975,10,9
"chord_mrx_09_000016",65.522329,107.637134,61.654660,17.955713,3.071440,12.767657,9,12
"chord_mrx_09_000017",0.344179,132.465487,0.000000,0.000000,96.891523,2.362041,8,9
"chord_mrx_09_000018",57.993069,101.459592,53.844036,30.206824,1.726417,1.820528,4,6
"chord_mrx_09_000019",64.769977,145.075374,62.462942,11.959750,16.976085,4.449129,5,7
"chord_mrx_09_000020",56.952322,129.509298,53.187878,12.362108,3.291107,26.145181,9,11
"chord_mrx_09_000021",86.273222,200.943000,85.598901,0.678799,10.115306,0.069174,6,5
"chord_mrx_09_000022",83.176618,157.152653,80.801190,0.721652,13.198856,1.565968,4,5
"chord_mrx_09_000023",96.023852,110.184490,92.376634,0.000000,1.965769,1.625419,4,5
"chord_mrx_09_000024",80.283767,154.652170,77.384837,11.579581,0.904158,6.889077,11,11
"chord_mrx_09_000025",81.264982,183.133000,79.051837,3.082459,8.996740,6.323819,9,11
"chord_mrx_09_000026",92.322495,170.912160,91.422403,1.631926,4.556844,0.023895,3,5
"chord_mrx_09_000027",85.275284,160.198986,84.420143,3.466427,3.552290,6.553547,6,9
"chord_mrx_09_000028",70.000740,337.995000,69.295700,10.468498,9.139188,7.458098,26,25
"chord_mrx_09_000029",81.804223,110.064000,79.448321,10.114115,1.510939,4.498292,10,11
"chord_mrx_09_000030",72.541524,121.376000,20.199216,0.000000,2.430464,0.000000,3,3
"chord_mrx_09_000031",23.753219,229.683084,22.804086,0.000000,69.569257,0.526813,3,4
"chord_mrx_09_000032",66.780256,19.022380,65.069066,6.103327,15.651322,11.231208,8,7
"chord_mrx_09_000033",88.638167,151.092245,85.916488,3.578133,2.557150,4.535306,12,16
"chord_mrx_09_000034",88.868236,158.066939,86.499698,0.000000,5.136927,4.336028,5,7
"chord_mrx_09_000035",82.062226,147.142000,80.471925,6.874312,2.437781,4.591483,14,15
"chord_mrx_09_000036",71.518933,217.887347,71.033661,13.609645,3.078899,11.176249,8,8
"chord_mrx_09_000037",76.635414,121.392510,73.569462,11.156889,1.425392,9.939257,5,6
"chord_mrx_09_000038",85.574223,195.343673,85.306146,4.646700,7.932853,0.964273,10,13
"chord_mrx_09_000039",45.880483,333.425000,35.878533,23.544425,6.342356,21.458199,12,19
"chord_mrx_09_000040",79.674103,228.600000,78.996063,8.323710,3.587052,7.234471,12,13
"chord_mrx_09_000041",65.335765,166.997912,64.242387,17.824896,4.257481,9.751490,9,15
"chord_mrx_09_000042",79.961093,117.330432,76.699764,9.764899,0.111919,9.612256,4,3
"chord_mrx_09_000043",33.070265,161.149388,24.036244,45.027439,3.670705,16.369863,7,10
"chord_mrx_09_000044",75.106956,152.581224,72.733388,16.724201,4.171109,3.746789,8,14
"chord_mrx_09_000045",54.999319,136.681362,54.326774,38.064514,1.213659,4.976396,10,12
"chord_mrx_09_000046",74.484010,175.827000,73.480182,14.840155,4.414567,5.903530,15,17
"chord_mrx_09_000047",93.969361,40.620408,86.878182,0.000000,3.199692,1.501708,3,4
"chord_mrx_09_000048",86.794706,148.511640,83.518657,1.059523,7.992569,3.900958,7,9
"chord_mrx_09_000049",79.378530,167.627755,76.689149,1.714307,17.027350,1.644326,3,6
"chord_mrx_09_000050",11.444002,194.089796,11.237439,2.805033,41.992655,38.317615,10,11
"chord_mrx_09_000051",56.570844,150.282449,53.541582,24.767088,8.212771,8.720230,9,12
"chord_mrx_09_000052",75.959813,72.751020,75.959813,1.572379,20.684880,1.107995,6,8
"chord_mrx_09_000053",60.578685,31.681117,45.612581,0.000000,24.173074,0.000000,1,2
"chord_mrx_09_000054",51.691582,206.007440,50.256821,10.700928,34.393007,0.000000,5,6
"chord_mrx_09_000055",89.802350,167.122720,87.238549,3.520924,3.470842,2.539436,6,6
"chord_mrx_09_000056",1.831893,192.496327,0.000000,0.000000,68.390725,28.900890,7,12
"chord_mrx_09_000057",74.262852,225.309026,72.769244,18.008733,2.833156,3.633865,9,8
"chord_mrx_09_000058",78.583624,117.860212,75.362756,10.097233,2.885405,5.441288,7,6
"chord_mrx_09_000059",76.995013,202.317000,76.304512,7.316736,4.217639,10.574989,11,16
"chord_mrx_09_000060",76.674088,156.708571,76.463506,11.086483,3.462714,8.711018,7,13
"chord_mrx_09_000061",52.897283,138.919232,49.823251,35.405503,2.047836,9.354999,13,10
"chord_mrx_09_000062",85.274755,253.399781,84.587747,3.476165,8.268180,2.506432,7,8
"chord_mrx_09_000063",53.500322,133.587302,30.835351,33.784554,2.271421,6.637806,12,12
"chord_mrx_09_000064",72.117198,214.713000,70.971483,8.922608,2.170805,13.851979,10,15
"chord_mrx_09_000065",47.169009,189.515466,46.664284,26.654077,9.021138,16.219994,10,11
"chord_mrx_09_000066",56.710378,290.848000,55.982506,19.856076,4.458343,11.053540,15,11
"chord_mrx_09_000067",81.204118,138.370612,77.893724,10.384039,3.559759,4.164522,6,7
"chord_mrx_09_000068",67.933483,192.737235,67.193023,8.604972,8.506929,14.053806,11,15
"chord_mrx_09_000069",90.737174,116.424853,88.286790,1.073401,6.057628,1.767740,10,12
"chord_mrx_09_000070",91.890004,139.706676,91.055732,1.026997,5.043542,1.612778,10,11
"chord_mrx_09_000071",72.088328,164.101224,69.576177,7.089333,17.815749,2.868782,7,7
"chord_mrx_09_000072",60.445165,151.914612,58.307149,27.713914,7.749671,1.844675,6,5
"chord_mrx_09_000073",7.060457,304.150793,6.595529,50.109572,17.361721,25.182163,2,12
"chord_mrx_09_000074",42.230099,137.757028,41.579765,44.957617,2.300982,10.251796,14,16
"chord_mrx_09_000075",77.844553,144.771973,74.689691,13.195954,5.032357,3.602312,6,7
"chord_mrx_09_000076",63.875092,159.674920,63.043172,28.001415,2.023462,5.923748,12,18
"chord_mrx_09_000077",77.008860,137.607256,73.539655,16.990143,1.356999,3.949422,12,13
"chord_mrx_09_000078",84.889237,147.983673,82.345667,7.731072,2.078800,4.705525,8,9
"chord_mrx_09_000079",31.874553,86.999931,31.654465,42.405747,1.953453,23.721966,12,11
"chord_mrx_09_000080",66.878900,157.531000,65.858783,8.104437,5.511931,18.607131,9,13
"chord_mrx_09_000081",78.162377,175.804082,74.502575,8.900054,7.759473,5.010241,5,7
"chord_mrx_09_000082",50.885156,157.648980,47.770497,37.340193,5.404880,6.127672,11,14
"chord_mrx_09_000083",82.805553,155.173152,82.497930,6.281010,5.820277,4.580914,10,18
"chord_mrx_09_000084",77.707717,171.101456,73.919542,11.842598,8.758570,0.419875,5,12
"chord_mrx_09_000085",83.111697,163.317551,75.083176,5.360519,10.823572,0.210960,7,9
"chord_mrx_09_000086",72.565859,225.821231,69.897981,10.229181,4.881609,5.207914,13,16
"chord_mrx_09_000087",88.693614,257.642000,88.238331,2.988643,1.859169,0.748325,7,7
"chord_mrx_09_000088",57.339998,145.008617,54.293451,23.570652,2.662765,16.116207,15,15
"chord_mrx_09_000089",57.884416,212.140000,53.027718,20.062223,4.737909,10.875837,18,17
"chord_mrx_09_000090",90.214395,123.367620,86.967160,4.614197,1.964219,2.937095,7,9
"chord_mrx_09_000091",81.126738,158.850612,78.041694,2.358166,13.070178,2.731723,10,11
"chord_mrx_09_000092",71.360124,160.081000,69.694092,19.937407,3.247731,4.010470,9,13
"chord_mrx_09_000093",84.296200,116.532244,80.360012,5.530872,6.312600,3.725996,13,14
"chord_mrx_09_000094",49.135857,167.444898,48.589469,33.516770,5.801197,10.987232,7,9
"chord_mrx_09_000095",56.957379,154.934673,56.409419,7.770727,16.459548,18.505811,5,6
"chord_mrx_09_000096",60.288190,145.614919,58.136443,32.010451,1.221925,5.186898,10,12
"chord_mrx_09_000097",78.950049,108.312164,74.977525,1.391647,7.005816,12.580701,7,9
"chord_mrx_09_000098",83.845262,124.551837,79.779168,2.718093,12.842939,0.442820,6,7
"chord_mrx_09_000099",82.906955,160.417959,80.365024,0.984927,10.664515,4.470991,5,6
"chord_mrx_09_000100",67.872414,119.145091,64.279641,16.460214,5.613829,9.203004,8,10
"chord_mrx_09_000101",84.319778,92.708571,84.319778,8.250268,3.866373,3.047811,11,8
"chord_mrx_09_000102",81.563812,118.987755,77.498053,8.969968,4.301801,4.115413,5,12
"chord_mrx_09_000103",52.635424,215.066122,52.057149,21.270172,1.948491,23.917180,8,12
"chord_mrx_09_000104",83.690432,149.741757,76.229166,6.895083,5.407881,2.101979,7,7
