MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",66.670156,148.276825,64.368497,11.476234,7.323008,14.319930,5,10
"chord_mrx_09_000001",88.245946,200.129245,85.283273,10.830501,0.612104,-0.000000,1,3
"chord_mrx_09_000002",41.908502,182.143129,39.400289,26.038099,2.266309,28.930376,6,9
"chord_mrx_09_000003",51.855334,153.469388,45.843365,14.718587,5.107135,27.681777,7,13
"chord_mrx_09_000004",59.686480,236.088889,57.817977,22.108221,3.948241,13.587924,18,19
"chord_mrx_09_000005",65.997403,194.841000,62.441683,10.585554,4.427713,13.536165,19,16
"chord_mrx_09_000006",68.079842,183.771429,65.103931,6.722001,21.176262,2.755346,5,8
"chord_mrx_09_000007",80.827331,112.875102,75.741212,4.371847,6.787441,7.650910,9,8
"chord_mrx_09_000008",67.033809,171.101752,64.362773,14.743136,3.572197,14.085445,15,17
"chord_mrx_09_000009",66.971796,164.022857,66.315372,18.305075,5.156476,9.337313,9,11
"chord_mrx_09_000010",58.071893,149.394286,54.223749,19.184299,8.615421,13.803489,8,12
"chord_mrx_09_000011",66.919887,201.753890,63.701599,0.779979,4.622860,26.990567,11,12
"chord_mrx_09_000012",65.765040,147.513469,62.822652,12.722248,12.541232,7.394559,3,11
"chord_mrx_09_000013",59.580602,277.080816,57.864150,18.263219,4.426218,16.564091,11,17
"chord_mrx_09_000014",13.408432,263.332325,11.213932,59.191287,5.904040,17.140590,6,24
"chord_mrx_09_000015",66.245758,111.962523,65.824749,5.196162,8.713686,19.515049,10,8
"chord_mrx_09_000016",48.157244,107.637134,43.606725,16.493240,3.151901,32.197604,9,9
"chord_mrx_09_000017",0.746436,132.465487,0.000000,0.000000,94.607877,4.549864,8,8
"chord_mrx_09_000018",50.610068,101.459592,48.462190,35.028643,2.261957,1.677102,4,6
"chord_mrx_09_000019",41.258410,145.075374,37.106317,13.412693,19.589540,24.813442,5,9
"chord_mrx_09_000020",26.703561,129.509298,22.779491,34.349281,1.594200,35.936475,9,8
"chord_mrx_09_000021",82.361167,200.943000,80.184430,1.002274,10.901101,2.442981,6,7
"chord_mrx_09_000022",82.371838,157.152653,78.881966,0.332403,14.158878,2.651222,4,5
"chord_mrx_09_000023",85.617893,110.184490,81.590998,4.973396,2.211698,6.346189,4,6
"chord_mrx_09_000024",68.011858,154.652170,64.784296,12.681704,4.428674,14.622594,11,12
"chord_mrx_09_000025",74.133007,183.133000,72.001769,2.286317,14.121977,9.077556,9,13
"chord_mrx_09_000026",76.327596,170.912160,74.886290,0.020983,9.086285,13.641510,3,6
"chord_mrx_09_000027",81.336472,160.198986,80.246502,7.553084,4.352043,5.988216,6,10
"chord_mrx_09_000028",64.017515,337.995000,62.318969,13.044276,6.495954,13.039542,26,34
"chord_mrx_09_000029",62.615387,110.064000,60.405764,12.474560,5.591292,16.713003,10,9
"chord_mrx_09_000030",20.349987,121.376000,18.606644,0.000000,2.589474,1.223471,3,4
"chord_mrx_09_000031",19.972736,229.683084,19.073671,0.000000,71.041359,1.818576,3,4
"chord_mrx_09_000032",38.429592,19.022380,36.718402,23.918889,23.091017,14.352899,8,7
"chord_mrx_09_000033",89.023120,151.092245,86.079723,4.944000,2.824539,2.738815,12,13
"chord_mrx_09_000034",83.879120,158.066939,79.885343,4.101193,3.714951,7.245628,5,7
"chord_mrx_09_000035",72.497316,147.142000,69.762542,6.381591,7.214120,11.017249,14,15
"chord_mrx_09_000036",63.873839,217.887347,62.772293,15.387722,3.651618,16.867800,8,10
"chord_mrx_09_000037",82.231019,121.392510,78.322018,5.694809,3.304985,7.838783,5,10
"chord_mrx_09_000038",85.551719,195.343673,84.401690,2.397339,5.173381,4.854376,10,11
"chord_mrx_09_000039",46.338157,333.425000,44.510160,18.586489,6.940691,16.948039,12,19
"chord_mrx_09_000040",77.979440,228.600000,76.120735,7.370079,8.746282,4.816710,12,14
"chord_mrx_09_000041",29.951198,166.997912,28.764443,36.396332,7.817993,23.029184,9,21
"chord_mrx_09_000042",69.977842,117.330432,66.166680,8.264466,1.654272,19.771130,4,7
"chord_mrx_09_000043",29.715368,161.149388,28.975303,29.863238,0.366783,30.838637,7,18
"chord_mrx_09_000044",50.162404,152.581224,47.550740,27.843354,9.594879,11.982329,8,17
"chord_mrx_09_000045",48.935442,136.681362,47.559146,28.505404,6.593641,15.511170,10,13
"chord_mrx_09_000046",74.290069,175.827000,72.958078,16.595858,3.742884,5.288721,15,17
"chord_mrx_09_000047",86.188964,40.620408,79.097785,0.000000,10.930853,0.000000,3,3
"chord_mrx_09_000048",76.529904,148.511640,73.253855,2.303376,6.329447,13.581741,7,8
"chord_mrx_09_000049",77.246281,167.627755,74.539156,1.905664,18.443656,1.932963,3,11
"chord_mrx_09_000050",10.321043,194.089796,10.114480,3.524534,36.863411,43.639075,10,17
"chord_mrx_09_000051",57.609466,150.282449,54.264789,20.392987,6.716546,11.940320,9,9
"chord_mrx_09_000052",56.186983,72.751020,56.186983,12.236635,21.378940,9.481273,6,11
"chord_mrx_09_000053",17.496261,31.681117,0.000000,13.173412,1.517999,55.094244,1,7
"chord_mrx_09_000054",61.862726,206.007440,59.311501,12.069518,20.583909,3.385828,5,9
"chord_mrx_09_000055",63.481337,167.122720,60.251087,27.517155,6.941913,1.903295,6,9
"chord_mrx_09_000056",63.940949,192.496327,61.232565,20.819562,5.319139,8.550045,7,12
"chord_mrx_09_000057",61.524966,225.309026,58.777152,26.369924,2.143097,8.978761,9,9
"chord_mrx_09_000058",69.172440,117.860212,62.959121,12.893677,3.782851,14.034030,7,9
"chord_mrx_09_000059",60.422011,202.317000,59.531330,13.034990,5.022811,20.509893,11,19
"chord_mrx_09_000060",62.368732,156.708571,62.092454,16.536443,1.810330,15.872007,7,18
"chord_mrx_09_000061",55.078003,138.919232,52.028223,23.088551,4.071854,16.140989,13,10
"chord_mrx_09_000062",81.979879,253.399781,81.268442,5.608326,4.951834,5.783365,7,10
"chord_mrx_09_000063",41.782638,133.587302,29.485725,32.798757,4.201004,9.322451,12,15
"chord_mrx_09_000064",54.896536,214.713000,53.004709,18.346351,5.979610,18.137700,10,16
"chord_mrx_09_000065",53.194509,189.515466,51.754002,12.553285,6.934829,26.414259,10,10
"chord_mrx_09_000066",50.609941,290.848000,48.367188,23.888423,5.170398,13.015389,15,13
"chord_mrx_09_000067",65.432022,138.370612,61.964388,10.659433,13.737502,9.498042,6,9
"chord_mrx_09_000068",58.995899,192.737235,57.354630,11.126760,9.576313,18.052472,11,14
"chord_mrx_09_000069",86.127830,116.424853,84.218566,4.232942,3.397187,5.336864,10,12
"chord_mrx_09_000070",83.466938,139.706676,82.205987,6.536086,5.129900,4.345340,10,10
