MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",7.973314,148.276825,7.875386,0.000000,67.233596,22.589359,5,2
"chord_mrx_09_000001",52.759570,200.129245,52.681304,0.000000,44.123252,0.000000,1,2
"chord_mrx_09_000002",0.092448,182.143129,0.000000,1.483939,63.784149,31.540393,6,2
"chord_mrx_09_000003",10.444878,153.469388,10.333203,0.599606,77.516173,5.539050,7,2
"chord_mrx_09_000004",8.944063,236.088889,8.865564,0.663897,63.924336,24.158934,18,2
"chord_mrx_09_000005",0.074933,194.841000,0.000000,0.000000,51.936194,39.054922,19,2
"chord_mrx_09_000006",19.019114,183.771429,18.938346,0.000000,73.998244,4.087499,5,2
"chord_mrx_09_000007",11.487391,112.875102,11.341121,0.000000,57.520025,26.052735,9,2
"chord_mrx_09_000008",7.921779,171.101752,7.816650,6.141851,58.643567,24.219162,15,2
"chord_mrx_09_000009",9.023314,164.022857,8.911832,0.000000,72.129798,18.301946,9,2
"chord_mrx_09_000010",0.651220,149.394286,0.528534,10.392921,50.206887,35.023514,8,2
"chord_mrx_09_000011",21.948317,201.753890,21.856449,2.161940,50.883615,21.879708,11,2
"chord_mrx_09_000012",6.820186,147.513469,6.712081,0.000000,89.834989,-0.000000,3,2
"chord_mrx_09_000013",11.122332,277.080816,11.064653,0.000000,72.708561,13.441857,11,2
"chord_mrx_09_000014",0.168635,263.332325,0.111231,0.000000,88.602737,5.977405,6,2
"chord_mrx_09_000015",4.418220,111.962523,4.257233,1.262347,69.703888,24.285973,10,2
"chord_mrx_09_000016",8.623881,107.637134,8.489491,4.180502,44.013641,38.765835,9,2
"chord_mrx_09_000017",17.153528,132.465487,17.017705,0.000000,75.969221,6.266638,8,2
"chord_mrx_09_000018",0.172080,101.459592,0.000000,0.000000,37.755692,49.842113,4,2
"chord_mrx_09_000019",0.101974,145.075374,0.000000,0.000000,68.888455,26.959451,5,2
"chord_mrx_09_000020",0.116436,129.509298,0.000000,19.166614,49.739017,26.130438,9,2
"chord_mrx_09_000021",1.015114,200.943000,0.926531,0.000000,94.919554,0.747973,6,2
"chord_mrx_09_000022",0.118135,157.152653,0.000000,0.000000,94.330756,2.179373,4,2
"chord_mrx_09_000023",5.847838,110.184490,5.694921,0.000000,69.673868,20.604316,4,2
"chord_mrx_09_000024",6.636279,154.652170,6.540501,0.000000,64.686018,25.545918,11,2
"chord_mrx_09_000025",0.696215,183.133000,0.608847,0.507828,90.868931,5.502012,9,2
"chord_mrx_09_000026",0.086809,170.912160,0.000000,0.000000,97.635068,0.000000,3,2
"chord_mrx_09_000027",16.573879,160.198986,16.470806,1.275539,46.692908,33.700593,6,2
"chord_mrx_09_000028",0.931138,337.995000,0.887350,4.449557,58.362934,32.661643,26,2
"chord_mrx_09_000029",25.238861,110.064000,25.108937,4.838094,36.510667,29.420156,10,2
"chord_mrx_09_000030",0.600943,121.376000,0.459234,0.000000,22.386304,0.000000,3,2
"chord_mrx_09_000031",4.293316,229.683084,0.000000,0.000000,0.000000,0.000000,0,0
"chord_mrx_09_000032",3.418594,19.022380,3.418594,3.811726,60.142296,30.916195,8,2
"chord_mrx_09_000033",7.650144,151.092245,7.542762,0.000000,32.121000,56.923315,12,2
"chord_mrx_09_000034",4.823258,158.066939,4.715114,0.000000,57.498888,33.792221,5,2
"chord_mrx_09_000035",3.025853,147.142000,2.918473,4.564774,34.576599,52.315654,14,2
"chord_mrx_09_000036",0.081394,217.887347,0.000000,5.831950,54.695905,38.370598,8,2
"chord_mrx_09_000037",0.153088,121.392510,0.000000,0.000000,47.438695,48.652304,5,2
"chord_mrx_09_000038",8.421959,195.343673,8.341755,9.516741,72.642477,8.348998,10,2
"chord_mrx_09_000039",0.351113,333.425000,0.307325,0.301807,55.128830,31.526940,12,2
"chord_mrx_09_000040",10.732918,228.600000,10.662052,1.720122,67.767957,17.991164,12,2
"chord_mrx_09_000041",10.435580,166.997912,10.338023,3.490056,65.500757,16.747418,9,2
"chord_mrx_09_000042",25.416986,117.330432,25.278461,0.000000,8.687144,62.223232,4,2
"chord_mrx_09_000043",4.231407,161.149388,4.136021,0.000000,25.458128,60.861297,7,2
"chord_mrx_09_000044",4.628290,152.581224,4.520004,0.000000,76.592579,16.275753,8,2
"chord_mrx_09_000045",0.655980,136.681362,0.547594,0.000000,24.561237,73.514873,10,2
"chord_mrx_09_000046",1.331934,175.827000,1.249467,3.841645,48.941914,44.634982,15,2
"chord_mrx_09_000047",6.423914,40.620408,6.002431,0.000000,86.906390,0.000000,3,2
"chord_mrx_09_000048",5.861295,148.511640,5.735983,4.945014,76.939823,9.103131,7,2
"chord_mrx_09_000049",0.098883,167.627755,0.000000,0.000000,97.230000,0.000000,3,2
"chord_mrx_09_000050",1.536337,194.089796,0.000000,0.000000,0.000000,0.000000,0,0
"chord_mrx_09_000051",0.094788,150.282449,0.000000,10.248934,48.433242,36.559495,9,2
"chord_mrx_09_000052",1.939698,72.751020,1.939698,0.000000,97.832924,0.000000,6,2
"chord_mrx_09_000053",0.449571,31.681117,0.000000,0.000000,69.785655,0.000000,1,2
"chord_mrx_09_000054",0.078985,206.007440,0.000000,0.000000,84.649828,10.700928,5,2
"chord_mrx_09_000055",8.831800,167.122720,8.743425,0.563351,74.660354,12.802620,6,2
"chord_mrx_09_000056",0.073938,192.496327,0.000000,2.329860,65.000184,29.961572,7,2
"chord_mrx_09_000057",0.080081,225.309026,0.000000,0.000000,70.410037,26.842149,9,2
"chord_mrx_09_000058",24.116956,117.860212,23.969220,1.335026,48.212432,20.270003,7,2
"chord_mrx_09_000059",0.070187,202.317000,0.000000,6.738766,60.085411,32.199138,11,2
"chord_mrx_09_000060",0.000000,156.708571,0.000000,4.437838,50.228450,44.947923,7,2
"chord_mrx_09_000061",4.325387,138.919232,4.222669,0.978189,43.588009,47.881791,13,2
"chord_mrx_09_000062",0.070946,253.399781,0.000000,3.918956,91.846843,3.190286,7,2
"chord_mrx_09_000063",23.663304,133.587302,0.000000,0.000000,0.000000,0.000000,0,0
"chord_mrx_09_000064",6.528580,214.713000,6.444747,0.455073,22.810584,66.206471,10,2
"chord_mrx_09_000065",15.610843,189.515466,15.521916,10.006402,37.979841,35.051335,10,2
"chord_mrx_09_000066",0.059481,290.848000,0.000000,0.151282,50.036445,41.162738,15,2
"chord_mrx_09_000067",10.453430,138.370612,10.333743,0.000000,69.139029,16.529273,6,2
"chord_mrx_09_000068",3.792158,192.737235,3.701806,0.000000,70.814988,23.841937,11,2
"chord_mrx_09_000069",1.158119,116.424853,1.018237,0.000000,82.736231,13.431091,10,2
"chord_mrx_09_000070",1.225769,139.706676,1.093144,6.106166,67.096605,24.443134,10,2
"chord_mrx_09_000071",8.451520,164.101224,8.349008,1.007287,71.123347,16.894015,7,2
"chord_mrx_09_000072",0.120435,151.914612,0.000000,0.000000,62.422126,33.193284,6,2
"chord_mrx_09_000073",0.052632,304.150793,0.000000,0.000000,99.400226,0.000000,2,2
"chord_mrx_09_000074",3.234260,137.757028,3.103433,2.317369,28.049251,65.638503,14,2
"chord_mrx_09_000075",0.681182,144.771973,0.558779,0.622317,70.742530,24.674636,6,2
"chord_mrx_09_000076",0.458715,159.674920,0.355150,0.465396,80.694181,17.477070,12,2
"chord_mrx_09_000077",0.130718,137.607256,0.000000,0.000000,40.514555,55.321663,12,2
"chord_mrx_09_000078",3.682477,147.983673,3.570524,0.000000,61.989219,31.314569,8,2
"chord_mrx_09_000079",5.819826,86.999931,5.819826,4.268342,32.200296,57.491448,12,2
"chord_mrx_09_000080",10.367064,157.531000,10.265497,0.389892,60.348541,27.078353,9,2
"chord_mrx_09_000081",9.582763,175.804082,9.487156,0.000000,79.639200,7.045988,5,2
"chord_mrx_09_000082",4.545231,157.648980,4.436775,12.755113,10.956999,68.518937,11,2
"chord_mrx_09_000083",0.100756,155.173152,0.000000,0.000000,69.761105,29.419026,10,2
"chord_mrx_09_000084",38.209211,171.101456,38.115854,0.434269,57.518848,0.142853,5,2
"chord_mrx_09_000085",4.428900,163.317551,4.322022,0.000000,84.637409,3.012048,7,2
"chord_mrx_09_000086",0.069208,225.821231,0.000000,0.000000,71.566065,20.452777,13,2
"chord_mrx_09_000087",8.172414,257.642000,8.111865,0.000000,80.116375,5.606229,7,2
"chord_mrx_09_000088",5.918625,145.008617,5.790526,7.072521,37.848604,45.931425,15,2
"chord_mrx_09_000089",13.658904,212.140000,13.589139,3.507306,34.014330,38.231168,18,2
