MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",77.326505,148.276825,75.626578,7.923894,4.009621,10.087934,5,8
"chord_mrx_09_000001",35.151657,200.129245,32.899796,63.277801,0.000000,0.626959,1,4
"chord_mrx_09_000002",83.599967,182.143129,80.811510,7.499957,3.850404,4.616192,7,12
"chord_mrx_09_000003",84.078048,153.469388,81.100920,5.275084,4.601467,2.603047,7,6
"chord_mrx_09_000004",66.575590,236.088889,66.397129,24.528799,2.417934,4.268868,20,28
"chord_mrx_09_000005",79.771198,194.841000,74.680894,6.198387,0.165776,9.928095,20,23
"chord_mrx_09_000006",62.652400,183.771429,60.208619,16.552514,9.266022,10.985802,8,7
"chord_mrx_09_000007",79.887326,112.875102,75.978331,7.283461,7.691349,3.936093,9,7
"chord_mrx_09_000008",60.491198,171.101752,57.763219,22.391248,0.567285,16.078288,20,17
"chord_mrx_09_000009",69.251902,164.022857,69.030678,23.037778,2.853849,4.421271,12,15
"chord_mrx_09_000010",81.779339,149.394286,78.299094,8.441431,4.909413,4.501918,8,10
"chord_mrx_09_000011",57.287570,201.753890,54.844752,23.347367,0.575622,18.013972,12,17
"chord_mrx_09_000012",77.036186,147.513469,73.632823,7.523800,9.571024,0.929666,3,7
"chord_mrx_09_000013",66.467815,277.080816,63.863535,12.599253,3.896981,9.337692,12,23
"chord_mrx_09_000014",55.993824,263.332325,51.546284,19.561260,1.432136,4.473516,8,7
"chord_mrx_09_000015",59.913293,111.962523,59.518300,23.087527,5.042976,11.860638,12,16
"chord_mrx_09_000016",33.371390,107.637134,29.587336,53.071447,0.270946,12.519742,11,14
"chord_mrx_09_000017",0.295109,132.465487,0.000000,0.000000,87.668573,11.584991,9,11
"chord_mrx_09_000018",66.938500,101.459592,55.722614,29.992344,0.398541,1.484305,4,7
"chord_mrx_09_000019",81.888256,145.075374,79.422683,2.848239,12.584710,0.992275,6,8
"chord_mrx_09_000020",55.039128,129.509298,51.305963,25.470938,0.999817,17.259352,9,13
"chord_mrx_09_000021",83.348512,200.943000,82.649309,4.210647,8.912975,0.821128,7,8
"chord_mrx_09_000022",58.122620,157.152653,55.690175,24.261724,8.534487,8.023743,4,6
"chord_mrx_09_000023",97.056324,110.184490,93.029429,1.229756,0.862691,0.812679,4,6
"chord_mrx_09_000024",75.271614,154.652170,72.392082,22.326817,0.211994,1.829994,14,16
"chord_mrx_09_000025",80.793194,183.133000,78.364358,5.415190,4.524580,6.843660,9,17
"chord_mrx_09_000026",80.443899,170.912160,79.757367,14.911115,1.521346,1.445240,3,5
"chord_mrx_09_000027",74.289051,160.198986,72.602946,16.429873,3.299032,5.807994,9,8
"chord_mrx_09_000028",65.046820,337.995000,63.348274,16.420953,2.286128,12.520008,40,34
"chord_mrx_09_000029",74.841910,110.064000,72.131669,15.870766,1.094818,6.197303,12,14
"chord_mrx_09_000030",88.286811,121.376000,18.399848,0.000000,2.520268,0.000000,3,3
"chord_mrx_09_000031",22.007003,229.683084,20.189281,2.458248,69.185939,-0.000000,4,3
"chord_mrx_09_000032",55.535233,19.022380,53.824043,21.408068,12.604911,10.296756,9,10
"chord_mrx_09_000033",85.517778,151.092245,82.872212,8.093838,2.425947,3.195081,12,19
"chord_mrx_09_000034",92.389099,158.066939,90.102804,0.000000,2.916760,2.972067,5,6
"chord_mrx_09_000035",75.614033,147.142000,73.578584,15.485042,1.556320,3.755556,15,21
"chord_mrx_09_000036",51.157417,217.887347,50.640958,34.256382,0.785518,13.203182,12,15
"chord_mrx_09_000037",87.258559,121.392510,84.139061,2.955727,3.194082,5.802130,6,6
"chord_mrx_09_000038",80.309485,195.343673,79.954381,13.603461,4.255485,1.036644,10,18
"chord_mrx_09_000039",61.481892,333.425000,49.371223,10.481818,2.638374,24.690110,13,21
"chord_mrx_09_000040",71.738845,228.600000,70.990814,18.917760,1.678478,6.554243,15,16
"chord_mrx_09_000041",50.644277,166.997912,49.130581,35.862475,2.797338,8.251083,9,13
"chord_mrx_09_000042",80.433479,117.330432,77.041790,4.942857,0.091666,14.089473,6,7
"chord_mrx_09_000043",34.051239,161.149388,24.506685,35.450959,5.293153,0.550678,9,9
"chord_mrx_09_000044",64.025418,152.581224,61.710835,28.229454,3.481090,1.388263,8,11
"chord_mrx_09_000045",46.678096,136.681362,45.614131,47.730074,0.193436,5.069309,12,17
"chord_mrx_09_000046",73.836214,175.827000,73.014383,14.080886,2.013343,9.541197,17,23
"chord_mrx_09_000047",87.801388,40.620408,80.710209,1.635237,3.554290,1.851722,4,3
"chord_mrx_09_000048",85.998773,148.511640,82.722724,5.894329,6.570887,1.290501,8,7
"chord_mrx_09_000049",74.397319,167.627755,71.821283,6.854552,14.739746,3.480581,5,5
"chord_mrx_09_000050",9.378572,194.089796,9.172009,4.920246,34.509432,41.459226,11,15
"chord_mrx_09_000051",52.290145,150.282449,49.440545,30.175244,10.808902,4.816980,9,10
"chord_mrx_09_000052",51.684996,72.751020,51.684996,27.263460,10.858795,9.483453,7,8
"chord_mrx_09_000053",14.697806,31.681117,0.000000,0.000000,0.000000,69.785655,1,1
"chord_mrx_09_000054",55.030535,206.007440,51.777274,23.054396,4.916256,12.948191,7,7
"chord_mrx_09_000055",49.921643,167.122720,47.355123,45.284841,2.899926,1.211636,6,9
"chord_mrx_09_000056",60.506252,192.496327,58.599032,33.755902,1.127772,3.808909,7,10
"chord_mrx_09_000057",66.991256,225.309026,65.528186,24.516133,1.462102,5.745765,9,10
"chord_mrx_09_000058",60.902213,117.860212,57.115335,30.188869,1.119564,5.326513,7,9
"chord_mrx_09_000059",67.947330,202.317000,67.360627,18.148747,2.113515,9.839509,13,17
"chord_mrx_09_000060",82.789168,156.708571,82.546680,8.345427,0.202815,8.628800,8,14
"chord_mrx_09_000061",78.112847,138.919232,75.041472,14.007312,2.697092,4.850665,14,12
"chord_mrx_09_000062",63.300343,253.399781,62.588906,24.317199,2.545368,9.429241,8,10
"chord_mrx_09_000063",53.679782,133.587302,30.865096,28.553584,7.111117,4.745718,14,15
"chord_mrx_09_000064",69.963160,214.713000,68.386637,12.817575,0.831342,11.937330,11,20
"chord_mrx_09_000065",26.844190,189.515466,26.638402,29.906820,4.994553,37.019718,12,9
"chord_mrx_09_000066",60.137598,290.848000,59.280449,17.538027,1.011525,13.520464,21,17
"chord_mrx_09_000067",85.750178,138.370612,82.075683,4.072445,9.383805,0.350006,6,7
"chord_mrx_09_000068",64.765313,192.737235,63.953661,20.658203,4.980846,8.761982,13,21
"chord_mrx_09_000069",88.078350,116.424853,85.318752,7.216431,2.890764,1.759611,10,14
"chord_mrx_09_000070",68.105049,139.706676,67.370987,26.736609,0.329346,4.302107,10,15
"chord_mrx_09_000071",82.049695,164.101224,79.423352,9.472287,6.694235,1.767719,8,6
"chord_mrx_09_000072",46.784745,151.914612,42.400154,45.885550,6.237262,0.942935,7,7
"chord_mrx_09_000073",11.599865,304.150793,11.124745,63.278586,3.568953,21.427942,2,10
"chord_mrx_09_000074",52.855553,137.757028,52.270551,36.990821,0.934737,8.894049,18,18
"chord_mrx_09_000075",73.491386,144.771973,70.488487,18.212404,4.971973,2.812913,7,8
"chord_mrx_09_000076",44.113496,159.674920,43.248414,50.876624,0.379544,4.410779,17,19
"chord_mrx_09_000077",81.518533,137.607256,78.060228,13.759317,0.931226,3.085447,12,17
"chord_mrx_09_000078",78.267647,147.983673,75.609200,16.233827,1.628017,3.396777,8,16
"chord_mrx_09_000079",43.013701,86.999931,43.013701,25.268218,0.928769,30.569225,12,17
"chord_mrx_09_000080",61.464728,157.531000,60.329713,22.215310,1.888517,13.093296,13,22
"chord_mrx_09_000081",77.702049,175.804082,74.130413,12.710511,5.918995,3.412425,6,7
"chord_mrx_09_000082",72.269502,157.648980,69.072382,18.045250,4.613951,4.924345,11,16
"chord_mrx_09_000083",73.249676,155.173152,72.884054,19.467900,3.094039,3.734138,11,14
"chord_mrx_09_000084",25.538378,171.101456,21.750202,67.830515,1.791001,1.567129,5,10
"chord_mrx_09_000085",80.548852,163.317551,72.520331,11.501382,5.360489,1.636797,8,9
"chord_mrx_09_000086",67.341048,225.821231,59.572148,19.459939,1.938606,5.701154,21,21
"chord_mrx_09_000087",87.704256,257.642000,86.755653,4.038161,1.320825,1.706244,7,12
"chord_mrx_09_000088",59.015114,145.008617,56.240965,23.652431,2.297758,14.451921,16,18
"chord_mrx_09_000089",66.492411,212.140000,57.171679,17.509663,1.020081,12.882059,23,24
"chord_mrx_09_000090",90.698594,123.367620,87.568894,4.450983,1.247385,2.720951,8,9
"chord_mrx_09_000091",80.734397,158.850612,77.688950,2.565262,13.551186,2.312699,10,13
"chord_mrx_09_000092",77.367083,160.081000,74.913950,17.586097,3.060326,1.329327,9,14
"chord_mrx_09_000093",69.815854,116.532244,65.879665,17.470221,6.571259,5.566398,13,16
"chord_mrx_09_000094",37.816271,167.444898,37.076062,42.897018,5.268916,13.646426,8,10
"chord_mrx_09_000095",50.545779,154.934673,49.900749,17.502705,1.818539,29.910859,12,12
"chord_mrx_09_000096",71.057800,145.614919,68.371956,19.572284,1.227829,7.358048,12,13
"chord_mrx_09_000097",73.067956,108.312164,69.229371,6.311047,5.353317,15.108117,7,11
"chord_mrx_09_000098",81.767775,124.551837,77.629029,6.745066,3.932233,7.264322,9,7
"chord_mrx_09_000099",80.507144,160.417959,77.965213,2.379704,9.392949,4.462934,5,6
"chord_mrx_09_000100",72.684654,119.145091,68.788682,10.820183,0.366808,15.565275,9,12
"chord_mrx_09_000101",75.102779,92.708571,75.102779,18.845713,2.424300,3.273236,13,11
"chord_mrx_09_000102",18.389189,118.987755,14.377010,72.139042,2.330592,5.985012,5,11
"chord_mrx_09_000103",37.949200,215.066122,37.475544,38.177634,0.139023,23.351969,13,15
"chord_mrx_09_000104",85.273276,149.741757,76.119230,10.677724,2.651664,1.048597,7,7
"chord_mrx_09_000105",76.808745,129.776327,74.139979,15.620272,4.839312,1.704712,10,11
"chord_mrx_09_000106",85.681973,183.876294,84.852517,7.901678,2.539945,3.461850,8,10
"chord_mrx_09_000107",59.074502,145.120967,58.527015,26.147306,0.785190,13.357020,9,19
"chord_mrx_09_000108",54.039833,123.916000,52.669550,31.013751,0.956293,8.022370,11,15
"chord_mrx_09_000109",81.150910,146.494694,78.530176,12.506463,3.104536,0.953087,7,9
"chord_mrx_09_000110",0.826371,177.266939,0.000000,72.296342,0.000000,26.581312,3,2
"chord_mrx_09_000111",64.723406,125.342112,61.372089,26.766366,1.002748,6.997266,5,12
"chord_mrx_09_000112",87.077560,118.267344,85.300820,7.249855,2.332599,1.274862,7,10
"chord_mrx_09_000113",73.425624,190.101768,71.368696,17.355924,2.645692,5.551106,8,15
"chord_mrx_09_000114",65.585211,159.208797,59.070196,2.281978,11.301834,4.691939,7,5
"chord_mrx_09_000115",60.903880,315.765042,40.158657,27.941990,0.952731,8.598721,18,24
"chord_mrx_09_000116",70.614389,113.439539,70.302436,11.446178,2.778295,14.633352,12,11
"chord_mrx_09_000117",90.302854,163.204352,87.599149,6.093021,0.806925,2.624969,8,9
"chord_mrx_09_000118",66.232116,128.026122,62.285140,26.844169,4.658230,1.591737,5,8
"chord_mrx_09_000119",82.762761,156.708571,80.740810,14.269194,1.479677,0.391689,10,14
"chord_mrx_09_000120",63.420156,211.581000,38.152764,18.648177,1.252475,12.989352,13,32
"chord_mrx_09_000121",55.684619,232.874000,52.921752,16.626158,3.516923,21.143623,13,18
"chord_mrx_09_000122",66.760469,105.743806,64.525012,17.008573,5.367093,10.438467,13,13
"chord_mrx_09_000123",90.332942,152.176427,87.758929,5.264597,2.229824,0.227232,5,8
"chord_mrx_09_000124",49.446010,201.742335,48.484593,43.376353,1.051770,5.590140,24,13
"chord_mrx_09_000125",68.752953,171.322630,65.540283,21.004903,0.952969,7.200119,12,16
"chord_mrx_09_000126",85.588282,126.828262,82.074436,9.243645,3.948282,1.102582,8,8
"chord_mrx_09_000127",75.399640,100.653000,72.755904,11.754245,5.990880,6.669449,10,12
"chord_mrx_09_000128",83.482484,158.992759,81.090956,11.215199,1.657522,3.123301,11,15
