MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",66.524407,148.276825,66.192163,15.022110,3.495208,12.847392,5,20
"chord_mrx_09_000001",45.416745,200.129245,45.384838,51.419718,0.000000,0.000000,1,4
"chord_mrx_09_000002",55.719299,182.143129,55.652371,27.327905,2.153002,11.675203,7,27
"chord_mrx_09_000003",33.651625,153.469388,33.365189,37.880589,1.528070,20.955940,7,25
"chord_mrx_09_000004",60.875743,236.088889,60.816731,21.383512,2.305669,13.087148,20,40
"chord_mrx_09_000005",65.714207,194.841000,65.615687,13.093857,0.244330,12.037242,20,36
"chord_mrx_09_000006",40.074019,183.771429,39.740764,33.788510,8.989564,14.505251,8,12
"chord_mrx_09_000007",63.513712,112.875102,62.848816,14.151631,1.736074,16.119686,9,17
"chord_mrx_09_000008",53.706016,171.101752,52.868016,27.725687,0.576033,15.651494,20,32
"chord_mrx_09_000009",65.759375,164.022857,65.676205,26.816488,2.813200,4.009370,12,20
"chord_mrx_09_000010",37.969404,149.394286,37.938318,40.434363,5.480382,12.298793,8,21
"chord_mrx_09_000011",49.019562,201.753890,48.766363,35.600244,1.306277,11.108828,12,16
"chord_mrx_09_000012",43.021202,147.513469,42.297121,34.858247,4.008371,15.383331,3,23
"chord_mrx_09_000013",46.178564,277.080816,44.611203,37.947424,0.837738,13.585369,12,52
"chord_mrx_09_000014",14.017138,263.332325,13.854010,68.763527,0.761391,11.312445,8,26
"chord_mrx_09_000015",66.180145,111.962523,66.102374,13.911705,4.711354,14.784009,12,21
"chord_mrx_09_000016",55.985538,107.637134,55.942394,24.929840,0.225167,14.352070,11,18
"chord_mrx_09_000017",0.205966,132.465487,0.000000,0.000000,63.400972,35.852592,9,25
"chord_mrx_09_000018",55.871572,101.459592,55.642713,28.661708,1.875664,1.417720,4,8
"chord_mrx_09_000019",33.269450,145.075374,32.847306,38.883129,11.428626,12.688846,6,14
"chord_mrx_09_000020",28.528474,129.509298,27.874059,44.094826,1.128663,21.938521,9,18
"chord_mrx_09_000021",74.968650,200.943000,74.758163,7.236981,6.698858,7.767762,7,22
"chord_mrx_09_000022",64.399823,157.152653,64.163416,10.329726,15.743202,6.273785,4,10
"chord_mrx_09_000023",75.708227,110.184490,75.513295,13.918987,0.832651,5.708172,4,10
"chord_mrx_09_000024",70.926567,154.652170,70.620651,17.111267,0.485567,8.554953,14,19
"chord_mrx_09_000025",70.135237,183.133000,69.343967,11.780920,5.702870,10.527063,9,27
"chord_mrx_09_000026",35.298197,170.912160,34.450777,58.144144,0.471778,4.568369,3,13
"chord_mrx_09_000027",61.802256,160.198986,61.756961,27.818839,1.959299,6.604746,9,15
"chord_mrx_09_000028",61.418661,337.995000,61.374749,20.098067,1.912964,12.975705,40,56
"chord_mrx_09_000029",66.421281,110.064000,66.375708,18.116343,1.174860,10.210942,12,18
"chord_mrx_09_000030",38.059947,121.376000,16.874878,2.868086,1.876712,1.225862,3,5
"chord_mrx_09_000031",8.158636,229.683084,8.138417,13.259521,61.350539,12.941779,4,14
"chord_mrx_09_000032",28.081246,19.022380,27.837113,38.320671,3.295797,28.835229,9,16
"chord_mrx_09_000033",79.553826,151.092245,79.200360,10.796815,2.963037,3.626864,12,24
"chord_mrx_09_000034",72.309163,158.066939,71.965785,15.658518,3.774702,4.607218,5,17
"chord_mrx_09_000035",66.507754,147.142000,66.400310,15.532655,1.306517,11.136020,15,25
"chord_mrx_09_000036",51.200631,217.887347,50.964929,33.297417,3.516796,10.975363,12,21
"chord_mrx_09_000037",41.098916,121.392510,40.678100,40.245793,1.386742,13.780364,6,16
"chord_mrx_09_000038",62.042558,195.343673,61.914776,27.790935,2.529006,6.591482,10,32
"chord_mrx_09_000039",54.340615,333.425000,45.120184,20.500926,2.485316,19.158476,13,43
"chord_mrx_09_000040",75.295301,228.600000,75.244712,12.952059,2.638861,7.305663,15,23
"chord_mrx_09_000041",37.884621,166.997912,36.897413,42.833973,1.939788,14.405080,9,27
"chord_mrx_09_000042",80.361261,117.330432,79.906086,5.319107,0.747564,10.216082,6,10
"chord_mrx_09_000043",35.862509,161.149388,27.867503,34.950117,0.050459,22.173033,9,32
"chord_mrx_09_000044",29.064573,152.581224,28.637078,51.337259,2.233436,14.738724,8,38
"chord_mrx_09_000045",45.503956,136.681362,45.169421,35.671775,0.945859,16.825046,12,25
"chord_mrx_09_000046",55.176668,175.827000,55.120714,27.893554,2.711651,12.942090,17,37
"chord_mrx_09_000047",68.499106,40.620408,67.505895,9.819187,1.441980,14.141759,4,11
"chord_mrx_09_000048",68.465491,148.511640,67.683735,17.805788,7.297713,3.936715,8,16
"chord_mrx_09_000049",25.965965,167.627755,25.687659,42.473459,3.492698,25.174005,5,16
"chord_mrx_09_000050",8.694465,194.089796,8.578446,5.577769,27.740623,54.975053,11,25
"chord_mrx_09_000051",32.535257,150.282449,31.729881,37.996176,5.511724,20.003891,9,28
"chord_mrx_09_000052",48.491367,72.751020,48.491367,31.342508,3.792483,15.635562,7,14
"chord_mrx_09_000053",12.122575,31.681117,9.474874,35.550561,8.890806,15.869414,1,12
"chord_mrx_09_000054",44.624824,206.007440,43.463868,23.809250,3.672145,23.751751,7,24
"chord_mrx_09_000055",44.607864,167.122720,44.435926,45.099351,2.025409,5.209065,6,22
"chord_mrx_09_000056",56.847262,192.496327,56.821628,30.832015,2.389561,7.248411,7,22
"chord_mrx_09_000057",64.648278,225.309026,64.506572,23.673215,1.132238,7.940161,9,16
"chord_mrx_09_000058",55.160920,117.860212,54.658538,33.420530,1.136377,4.571236,7,17
"chord_mrx_09_000059",52.778671,202.317000,52.731433,25.671114,1.036466,19.584302,13,39
"chord_mrx_09_000060",59.993844,156.708571,59.816037,17.847291,0.413841,21.537274,8,24
"chord_mrx_09_000061",71.933063,138.919232,71.730397,15.873743,1.461782,7.604736,14,20
"chord_mrx_09_000062",57.283185,253.399781,57.090140,35.555161,1.642728,4.570165,8,20
"chord_mrx_09_000063",39.917744,133.587302,34.076611,25.748243,2.937057,11.596678,14,25
"chord_mrx_09_000064",56.860658,214.713000,56.375647,21.422303,0.931237,17.134892,11,29
"chord_mrx_09_000065",53.770451,189.515466,53.583603,20.325584,2.165065,22.485241,12,22
"chord_mrx_09_000066",44.450007,290.848000,44.422480,31.419479,1.153806,14.354700,21,34
"chord_mrx_09_000067",39.476566,138.370612,38.719325,37.709184,3.152678,16.420858,6,16
"chord_mrx_09_000068",55.316820,192.737235,55.292725,24.419206,2.460784,16.186016,13,43
"chord_mrx_09_000069",83.679481,116.424853,83.485512,8.596719,2.330580,2.747332,10,17
"chord_mrx_09_000070",67.255455,139.706676,66.756840,24.265365,1.756201,5.960643,10,14
"chord_mrx_09_000071",62.092367,164.101224,61.933182,23.131723,8.377606,3.931146,8,17
"chord_mrx_09_000072",33.057123,151.914612,30.886671,55.209755,3.664931,5.854053,7,18
"chord_mrx_09_000073",17.631248,304.150793,17.609299,25.832501,15.314492,40.643935,2,37
"chord_mrx_09_000074",54.493448,137.757028,54.396528,28.592572,1.096968,15.022488,18,31
"chord_mrx_09_000075",58.327228,144.771973,57.467138,28.264166,4.294906,6.572052,7,17
"chord_mrx_09_000076",40.871506,159.674920,40.796978,44.980588,2.296866,10.917365,17,35
"chord_mrx_09_000077",76.281971,137.607256,75.982456,11.946847,1.148252,6.758664,12,22
"chord_mrx_09_000078",61.446346,147.983673,61.177640,25.263575,1.025931,9.407167,8,19
"chord_mrx_09_000079",56.333171,86.999931,56.226412,19.075759,0.761957,23.715785,12,17
"chord_mrx_09_000080",51.236177,157.531000,51.134879,23.071736,1.302169,22.573499,13,26
"chord_mrx_09_000081",36.015765,175.804082,34.678469,50.566948,2.032344,8.894583,6,25
"chord_mrx_09_000082",62.898462,157.648980,62.819294,21.020673,4.092568,8.735290,11,18
"chord_mrx_09_000083",61.958536,155.173152,61.827602,25.964479,1.755902,9.632149,11,29
"chord_mrx_09_000084",28.263789,171.101456,24.702008,57.569853,3.024075,8.793170,5,29
"chord_mrx_09_000085",48.305242,163.317551,40.325043,39.813402,5.853993,5.521051,8,18
"chord_mrx_09_000086",58.248118,225.821231,51.923753,22.173421,1.560759,11.036033,21,32
"chord_mrx_09_000087",80.347048,257.642000,79.691836,9.257802,1.955829,2.929001,7,19
"chord_mrx_09_000088",44.840084,145.008617,44.679956,30.280736,2.221666,19.460718,16,28
"chord_mrx_09_000089",52.838262,212.140000,50.518341,24.275249,0.785152,13.058139,23,36
"chord_mrx_09_000090",78.015078,123.367620,77.438842,10.802672,1.709277,6.343533,8,20
"chord_mrx_09_000091",64.319368,158.850612,64.010574,12.544528,10.698412,8.948246,10,17
"chord_mrx_09_000092",59.536648,160.081000,59.261636,27.571984,2.538314,7.517766,9,33
"chord_mrx_09_000093",49.360408,116.532244,49.278214,26.721812,3.375132,16.688653,13,25
"chord_mrx_09_000094",19.957300,167.444898,19.801294,49.894075,2.187799,27.011500,8,22
"chord_mrx_09_000095",38.289533,154.934673,37.834305,23.517666,2.925409,34.868125,12,20
"chord_mrx_09_000096",67.967815,145.614919,67.794401,21.869432,0.672232,6.219652,12,18
"chord_mrx_09_000097",37.408810,108.312164,37.237306,31.346493,2.185235,25.258441,7,22
"chord_mrx_09_000098",49.480892,124.551837,49.406321,32.670384,4.441442,9.343107,9,17
"chord_mrx_09_000099",44.390837,160.417959,43.950578,33.185266,5.006696,14.299276,5,24
"chord_mrx_09_000100",61.639868,119.145091,61.435236,14.480292,1.790118,17.851042,9,18
"chord_mrx_09_000101",79.937370,92.708571,79.937370,12.998778,3.187248,3.560396,13,16
"chord_mrx_09_000102",5.277831,118.987755,4.646047,79.586460,0.942485,9.710243,5,22
"chord_mrx_09_000103",47.420949,215.066122,47.268447,27.399636,2.332079,22.221868,13,30
"chord_mrx_09_000104",66.025458,149.741757,60.966408,20.949905,4.064646,4.856509,7,13
"chord_mrx_09_000105",48.076797,129.776327,47.987335,41.168520,4.484091,2.720501,10,21
"chord_mrx_09_000106",76.241255,183.876294,76.182850,16.658247,1.463052,4.829276,8,16
"chord_mrx_09_000107",53.628765,145.120967,53.546763,31.339150,0.282057,13.666611,9,19
"chord_mrx_09_000108",53.136327,123.916000,52.862472,27.685936,0.251939,11.861618,11,21
"chord_mrx_09_000109",55.125991,146.494694,54.793133,21.014935,0.277698,19.012222,7,22
"chord_mrx_09_000110",63.430234,177.266939,63.400762,15.140523,4.253949,16.244355,3,8
"chord_mrx_09_000111",78.740190,125.342112,78.642933,14.179806,0.497470,3.216019,5,9
"chord_mrx_09_000112",70.307986,118.267344,70.011030,17.498328,4.316048,6.233320,7,21
"chord_mrx_09_000113",68.413660,190.101768,68.175477,18.713783,3.196099,6.854711,8,19
"chord_mrx_09_000114",29.781541,159.208797,25.464501,45.447892,2.607763,17.456277,7,20
"chord_mrx_09_000115",48.131116,315.765042,42.514805,20.751597,1.974759,12.396230,18,47
"chord_mrx_09_000116",51.227785,113.439539,50.974480,21.945403,1.006904,24.496588,12,26
"chord_mrx_09_000117",63.567121,163.204352,63.501319,26.114049,2.337363,5.208653,8,17
"chord_mrx_09_000118",35.666067,128.026122,34.510764,46.365738,5.616022,8.915498,5,22
"chord_mrx_09_000119",57.447774,156.708571,56.842117,32.362456,3.793764,3.883032,10,23
"chord_mrx_09_000120",50.316101,211.581000,32.252076,24.361008,1.776574,12.669619,13,42
"chord_mrx_09_000121",45.867537,232.874000,45.799817,28.288962,0.796408,19.784033,13,36
