MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",33.663275,148.276825,31.361616,15.753804,16.891507,30.826639,5,17
"chord_mrx_09_000001",92.252687,200.129245,89.527751,4.177102,0.000000,0.000000,1,3
"chord_mrx_09_000002",48.122881,182.143129,45.830116,33.189293,4.623435,12.716118,7,13
"chord_mrx_09_000003",15.265885,153.469388,9.618183,42.131444,7.538945,34.699459,7,21
"chord_mrx_09_000004",43.101797,236.088889,42.391662,27.675247,5.008091,22.489796,20,33
"chord_mrx_09_000005",57.698755,194.841000,54.858612,17.508488,2.516401,16.107615,20,20
"chord_mrx_09_000006",55.750354,183.771429,52.936181,9.786360,11.754752,21.547881,8,20
"chord_mrx_09_000007",70.775105,112.875102,65.909591,14.374334,6.355702,8.244023,9,12
"chord_mrx_09_000008",55.250706,171.101752,54.855711,23.188556,1.861080,16.915883,20,26
"chord_mrx_09_000009",67.945585,164.022857,67.785753,9.082914,7.168920,15.224408,12,18
"chord_mrx_09_000010",41.325194,149.394286,37.827978,32.987026,9.808782,15.528070,8,23
"chord_mrx_09_000011",48.756236,201.753890,45.640186,24.839981,2.965838,22.888041,12,22
"chord_mrx_09_000012",41.878978,147.513469,38.994794,27.458594,13.805691,15.058001,3,22
"chord_mrx_09_000013",57.076630,277.080816,55.495918,16.759356,9.547576,15.352942,12,21
"chord_mrx_09_000014",61.148685,263.332325,59.861261,15.450065,7.026522,11.836107,8,20
"chord_mrx_09_000015",51.076674,111.962523,50.890702,20.926033,5.410199,22.077189,12,21
"chord_mrx_09_000016",50.470974,107.637134,46.488911,19.771776,0.774601,28.414183,11,13
"chord_mrx_09_000017",0.746436,132.465487,0.000000,0.000000,64.525727,34.555178,9,15
"chord_mrx_09_000018",33.134020,101.459592,31.369432,43.808988,1.985291,10.434094,4,12
"chord_mrx_09_000019",30.202152,145.075374,26.294823,21.578078,17.118958,30.132584,6,12
"chord_mrx_09_000020",28.330367,129.509298,27.548156,23.703293,8.415282,35.369339,9,12
"chord_mrx_09_000021",54.528479,200.943000,52.351743,23.658442,9.346025,10.160122,7,14
"chord_mrx_09_000022",60.552269,157.152653,57.062398,11.133409,21.661836,6.000707,4,13
"chord_mrx_09_000023",51.990438,110.184490,48.162041,29.120814,6.635534,11.203888,4,16
"chord_mrx_09_000024",53.696996,154.652170,50.751530,30.058126,3.320359,12.642423,14,20
"chord_mrx_09_000025",53.874535,183.133000,52.362839,14.949411,15.956794,14.218574,9,18
"chord_mrx_09_000026",55.547539,170.912160,55.436125,22.705164,10.476919,9.016860,3,16
"chord_mrx_09_000027",58.348933,160.198986,56.686923,21.263073,5.278615,14.911234,9,15
"chord_mrx_09_000028",47.808343,337.995000,46.168876,15.408408,8.575646,26.008531,40,28
"chord_mrx_09_000029",39.711751,110.064000,37.990344,26.104295,8.909246,22.873969,12,24
"chord_mrx_09_000030",12.170146,121.376000,11.830043,7.236121,1.335909,2.443465,3,8
"chord_mrx_09_000031",8.365423,229.683084,7.909805,13.155375,53.379595,21.188344,4,9
"chord_mrx_09_000032",41.809185,19.022380,40.097995,24.633826,5.293817,12.401151,9,11
"chord_mrx_09_000033",38.892544,151.092245,38.590755,45.878447,1.623710,10.494165,12,26
"chord_mrx_09_000034",57.616835,158.066939,53.796993,26.566310,4.947532,10.631517,5,16
"chord_mrx_09_000035",68.638396,147.142000,66.285277,9.557145,6.204577,12.328502,15,19
"chord_mrx_09_000036",50.371418,217.887347,49.365692,23.034330,3.256309,23.111085,12,22
"chord_mrx_09_000037",28.719219,121.392510,25.027905,43.034850,9.195468,17.864590,6,12
"chord_mrx_09_000038",67.392244,195.343673,66.242216,13.184565,6.437409,11.213078,10,23
