MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",36.920861,148.276825,36.623853,46.672521,0.004297,14.326672,5,10
"chord_mrx_09_000001",7.373188,200.129245,7.106331,87.215294,0.000000,2.482931,1,4
"chord_mrx_09_000002",70.133988,182.143129,69.892203,14.813180,1.352751,10.616061,7,8
"chord_mrx_09_000003",9.552145,153.469388,9.115265,48.462218,1.326783,35.083765,7,12
"chord_mrx_09_000004",38.905492,236.088889,38.905492,39.757358,2.787691,16.088425,20,27
"chord_mrx_09_000005",47.316857,194.841000,46.995088,28.121141,1.382635,14.492253,20,24
"chord_mrx_09_000006",31.789597,183.771429,31.539534,39.951235,6.456596,19.074081,8,9
"chord_mrx_09_000007",43.845515,112.875102,43.409476,40.095543,0.149219,11.243113,9,13
"chord_mrx_09_000008",28.413184,171.101752,28.216407,40.920839,0.694205,26.989779,20,17
"chord_mrx_09_000009",56.803790,164.022857,56.803790,30.374798,2.310363,9.741372,12,15
"chord_mrx_09_000010",55.829741,149.394286,55.427573,24.973915,3.303081,12.447287,8,13
"chord_mrx_09_000011",27.581073,201.753890,27.315337,50.453566,1.942783,17.070026,12,12
"chord_mrx_09_000012",0.939096,147.513469,0.610505,73.951286,0.514970,21.470309,3,10
"chord_mrx_09_000013",42.369344,277.080816,42.203492,37.711727,3.952085,13.346015,12,22
"chord_mrx_09_000014",2.452429,263.332325,2.310247,64.889644,0.000000,27.491482,8,13
"chord_mrx_09_000015",51.936370,111.962523,51.866820,16.939295,10.985741,19.714549,12,11
"chord_mrx_09_000016",35.297300,107.637134,34.888152,33.451061,0.000000,27.110257,11,8
"chord_mrx_09_000017",0.201584,132.465487,0.000000,0.000000,41.563969,57.689595,9,14
"chord_mrx_09_000018",47.235103,101.459592,47.120673,37.282297,2.019932,1.174902,4,4
"chord_mrx_09_000019",38.959758,145.075374,38.513606,18.843480,24.380855,14.109966,6,10
"chord_mrx_09_000020",33.943746,129.509298,33.540339,44.102960,0.237669,17.155101,9,11
