MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",75.670116,148.276825,73.761386,7.815459,2.636805,13.484691,5,10
"chord_mrx_09_000001",47.391745,200.129245,45.232324,51.572232,0.000000,0.000000,1,5
"chord_mrx_09_000002",79.170996,182.143129,76.693725,4.083614,3.140718,12.815119,7,9
"chord_mrx_09_000003",61.152485,153.469388,60.845245,13.806276,8.163478,10.867803,7,9
"chord_mrx_09_000004",62.304407,236.088889,61.938312,20.430282,1.639762,13.555237,20,24
"chord_mrx_09_000005",75.401037,194.841000,72.347750,4.742893,0.501408,13.399064,20,27
"chord_mrx_09_000006",55.413099,183.771429,55.171104,19.544055,9.984836,12.324095,8,8
"chord_mrx_09_000007",76.288559,112.875102,71.291177,13.583994,3.268286,6.584142,9,12
"chord_mrx_09_000008",57.936186,171.101752,54.771292,20.266512,0.606657,21.107402,20,19
"chord_mrx_09_000009",78.830850,164.022857,78.804307,12.781948,3.965408,3.774826,12,11
"chord_mrx_09_000010",68.075040,149.394286,64.398698,15.345638,5.895561,10.511958,8,11
"chord_mrx_09_000011",56.395441,201.753890,53.386138,36.150642,0.900629,6.344302,12,13
"chord_mrx_09_000012",73.281489,147.513469,69.828559,17.049713,6.332578,2.964787,3,11
"chord_mrx_09_000013",58.512566,277.080816,56.017489,28.169323,3.529061,9.220065,12,30
"chord_mrx_09_000014",43.475688,263.332325,41.838172,45.445529,1.921201,5.486472,8,9
"chord_mrx_09_000015",53.251700,111.962523,52.805659,17.216389,9.972740,19.306686,12,9
"chord_mrx_09_000016",34.096207,107.637134,30.364597,29.847052,0.192619,35.045202,11,12
"chord_mrx_09_000017",0.544069,132.465487,0.000000,0.000000,85.411682,13.841882,9,11
"chord_mrx_09_000018",69.705676,101.459592,57.303480,27.222159,0.168669,0.190708,4,6
"chord_mrx_09_000019",72.702720,145.075374,69.549210,10.601617,9.353103,6.343977,6,7
"chord_mrx_09_000020",31.641563,129.509298,28.007757,42.153156,2.530479,22.066911,9,12
"chord_mrx_09_000021",80.883471,200.943000,80.742317,5.052296,9.666366,0.978306,7,8
"chord_mrx_09_000022",45.748659,157.152653,42.655750,40.248673,5.055966,8.549740,4,7
"chord_mrx_09_000023",89.374269,110.184490,85.411033,5.935717,0.459516,3.776954,4,6
"chord_mrx_09_000024",76.748334,154.652170,73.549946,12.831254,1.103098,9.148661,14,14
"chord_mrx_09_000025",77.283293,183.133000,74.770911,3.403668,6.631110,9.170841,9,10
"chord_mrx_09_000026",16.992164,170.912160,15.917499,78.782388,1.171971,1.763210,3,8
"chord_mrx_09_000027",73.665838,160.198986,72.780601,21.700573,2.164597,1.494074,9,9
"chord_mrx_09_000028",65.771512,337.995000,62.787735,15.549042,2.772314,14.306210,40,35
"chord_mrx_09_000029",78.591491,110.064000,76.320061,10.028967,2.827159,6.410993,12,14
"chord_mrx_09_000030",94.161291,121.376000,17.039739,2.701590,2.553107,0.402873,3,5
"chord_mrx_09_000031",16.619982,229.683084,15.717862,4.486396,69.181541,2.101999,4,6
"chord_mrx_09_000032",35.629348,19.022380,34.073002,37.350200,1.797735,25.067873,9,10
"chord_mrx_09_000033",86.528724,151.092245,83.897062,7.524575,3.116443,2.048997,12,16
"chord_mrx_09_000034",91.509896,158.066939,88.365042,0.000000,4.629857,3.011324,5,7
"chord_mrx_09_000035",76.531601,147.142000,76.222522,10.560008,3.561724,4.031247,15,21
"chord_mrx_09_000036",42.987742,217.887347,42.794668,42.604751,1.530852,11.793263,12,12
"chord_mrx_09_000037",80.700696,121.392510,77.198181,6.315362,3.023978,8.278254,6,7
"chord_mrx_09_000038",75.911283,195.343673,74.761255,16.965439,4.368454,2.729693,10,17
"chord_mrx_09_000039",58.091560,333.425000,46.534481,12.651541,2.836793,24.920538,13,20
"chord_mrx_09_000040",71.717826,228.600000,71.615101,14.966118,2.726363,8.833713,15,15
"chord_mrx_09_000041",53.457057,166.997912,51.244775,34.242500,2.490613,8.030391,9,22
"chord_mrx_09_000042",78.709156,117.330432,74.987589,11.276645,0.329458,9.595147,6,8
"chord_mrx_09_000043",44.818002,161.149388,36.895948,44.560401,1.680965,4.382076,9,7
"chord_mrx_09_000044",56.442776,152.581224,53.865434,30.063389,4.344077,8.679834,8,11
"chord_mrx_09_000045",43.695336,136.681362,42.361522,38.641443,1.058935,16.343703,12,20
"chord_mrx_09_000046",78.166286,175.827000,76.846776,9.774602,3.111219,8.920087,17,20
"chord_mrx_09_000047",89.265061,40.620408,82.488982,6.214494,4.205344,0.000000,4,4
"chord_mrx_09_000048",76.479887,148.511640,73.221881,9.786611,7.649233,5.889456,8,11
"chord_mrx_09_000049",48.923569,167.627755,46.153569,20.577266,11.379420,18.561076,5,10
"chord_mrx_09_000050",11.573937,194.089796,11.367373,2.336717,35.024785,44.315182,11,11
"chord_mrx_09_000051",48.206434,150.282449,44.779191,30.573885,6.530530,13.049334,9,24
"chord_mrx_09_000052",65.240560,72.751020,65.240560,19.748750,9.458490,4.404309,7,11
"chord_mrx_09_000053",74.587866,31.681117,55.847703,0.000000,4.512139,9.425813,1,4
"chord_mrx_09_000054",47.934187,206.007440,44.702417,18.973133,9.868164,20.737182,7,10
"chord_mrx_09_000055",72.426333,167.122720,69.196083,21.714605,3.236967,1.765079,6,9
"chord_mrx_09_000056",64.561027,192.496327,61.919754,28.086902,0.310751,5.912374,7,14
"chord_mrx_09_000057",60.756336,225.309026,58.803704,26.654218,0.367929,11.426335,9,10
"chord_mrx_09_000058",68.765502,117.860212,64.355035,17.189003,1.024017,11.218626,7,8
"chord_mrx_09_000059",58.637459,202.317000,57.703240,23.757770,1.618390,15.378020,13,20
"chord_mrx_09_000060",80.430176,156.708571,80.223371,4.818585,0.334557,14.326836,8,16
"chord_mrx_09_000061",73.749965,138.919232,70.723894,12.788141,1.071965,10.627569,14,14
"chord_mrx_09_000062",71.690687,253.399781,71.515969,18.993276,2.811178,5.591498,8,10
"chord_mrx_09_000063",74.193999,133.587302,50.561309,15.173990,2.146823,3.887917,14,17
"chord_mrx_09_000064",69.037970,214.713000,67.299836,12.803263,1.483206,12.640914,11,25
"chord_mrx_09_000065",42.832567,189.515466,42.656824,23.818181,1.770646,30.313843,12,13
"chord_mrx_09_000066",54.403441,290.848000,54.391881,22.293959,1.348537,13.316088,21,16
"chord_mrx_09_000067",58.603757,138.370612,55.060937,30.225656,4.712269,5.679167,6,13
"chord_mrx_09_000068",62.669863,192.737235,62.502773,15.215513,7.716631,10.125815,13,14
"chord_mrx_09_000069",88.886651,116.424853,86.354852,6.834010,2.671004,1.281734,10,14
"chord_mrx_09_000070",75.689442,139.706676,74.584616,15.178399,2.612217,6.363816,10,14
"chord_mrx_09_000071",72.897110,164.101224,70.317818,14.029714,8.233621,4.506964,8,11
"chord_mrx_09_000072",33.671721,151.914612,29.287130,55.394448,2.169490,7.960493,7,9
"chord_mrx_09_000073",48.650458,304.150793,48.447297,35.125904,6.826756,8.981170,2,6
"chord_mrx_09_000074",56.994950,137.757028,56.747646,32.168752,0.048138,10.144020,18,15
"chord_mrx_09_000075",73.877984,144.771973,70.497758,17.596936,4.930594,3.572974,7,7
"chord_mrx_09_000076",50.124711,159.674920,49.316607,42.303840,2.163551,5.207800,17,23
"chord_mrx_09_000077",80.517501,137.607256,76.450756,16.177289,0.703605,2.485809,12,18
"chord_mrx_09_000078",80.726404,147.983673,77.636104,13.386138,1.965303,3.836439,8,13
"chord_mrx_09_000079",72.480728,86.999931,72.296819,17.766611,1.498840,8.217642,12,14
"chord_mrx_09_000080",60.943775,157.531000,60.798833,11.405469,2.269806,23.608174,13,15
"chord_mrx_09_000081",60.184411,175.804082,56.657707,29.285509,4.924664,5.304464,6,8
"chord_mrx_09_000082",79.439417,157.648980,76.125781,4.386335,10.302334,5.586277,11,13
"chord_mrx_09_000083",65.185699,155.173152,64.606081,28.645765,1.927940,4.000344,11,12
"chord_mrx_09_000084",30.526738,171.101456,26.738562,61.335931,0.746292,2.648175,5,10
"chord_mrx_09_000085",66.627825,163.317551,58.599304,17.877327,10.157922,3.459839,8,10
"chord_mrx_09_000086",61.490593,225.821231,54.329869,25.663402,4.125800,7.070871,21,21
"chord_mrx_09_000087",82.315444,257.642000,81.023374,8.109812,1.044502,3.656780,7,10
"chord_mrx_09_000088",55.983688,145.008617,52.690304,29.130681,1.658420,13.163670,16,17
"chord_mrx_09_000089",62.233635,212.140000,52.070094,23.650231,0.915287,12.695927,23,21
"chord_mrx_09_000090",79.898831,123.367620,76.768349,10.547165,0.977737,7.798665,8,12
"chord_mrx_09_000091",80.635478,158.850612,76.876845,1.721123,14.390904,3.212888,10,9
