MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",77.901400,148.276825,75.599741,8.701970,10.345179,2.840779,5,6
"chord_mrx_09_000001",98.789133,200.129245,95.826460,0.000000,0.899419,-0.000000,1,3
"chord_mrx_09_000002",84.856110,182.143129,82.347897,5.000690,3.168353,6.118133,7,5
"chord_mrx_09_000003",73.143512,153.469388,67.131543,3.944103,9.084988,13.190230,7,10
"chord_mrx_09_000004",63.103309,236.088889,61.234806,18.203011,5.728117,12.296429,20,13
"chord_mrx_09_000005",61.654375,194.841000,58.098655,15.763109,2.815116,14.314236,20,14
"chord_mrx_09_000006",66.563973,183.771429,63.588062,7.988336,16.678439,7.502703,8,5
"chord_mrx_09_000007",79.741503,112.875102,74.655384,5.770700,6.856293,7.269033,9,7
"chord_mrx_09_000008",55.118184,171.101752,52.447148,30.226209,2.504507,11.585687,20,13
"chord_mrx_09_000009",85.682750,164.022857,85.026325,2.527964,6.789608,4.770338,12,10
"chord_mrx_09_000010",73.138311,149.394286,69.290167,6.562861,10.820024,9.153906,8,9
"chord_mrx_09_000011",77.341479,201.753890,74.123191,4.900402,4.706312,12.365099,12,10
"chord_mrx_09_000012",76.579598,147.513469,73.637210,3.115388,16.552440,2.175654,3,8
"chord_mrx_09_000013",70.669033,277.080816,68.952580,10.346337,6.205121,11.613641,12,11
"chord_mrx_09_000014",52.637705,263.332325,52.064983,5.159508,20.718069,16.748814,8,15
"chord_mrx_09_000015",52.611044,111.962523,52.190035,17.284148,9.410400,20.365064,12,6
"chord_mrx_09_000016",54.376961,107.637134,49.826442,19.509241,0.161363,25.952425,11,9
"chord_mrx_09_000017",0.746436,132.465487,0.000000,0.000000,96.126485,3.031255,9,7
"chord_mrx_09_000018",36.951516,101.459592,34.803638,48.086966,2.321261,2.218026,4,6
"chord_mrx_09_000019",55.039051,145.075374,50.886958,0.675268,28.521021,14.838745,6,6
"chord_mrx_09_000020",58.555427,129.509298,54.631357,3.253963,8.607285,28.166842,9,7
"chord_mrx_09_000021",83.676465,200.943000,81.499729,0.335916,10.898115,1.797027,7,5
"chord_mrx_09_000022",84.074343,157.152653,80.584472,0.000000,14.973034,0.466963,4,4
"chord_mrx_09_000023",94.294241,110.184490,90.267345,0.000000,2.211698,2.643238,4,5
"chord_mrx_09_000024",71.702079,154.652170,68.474517,11.493733,4.783891,11.765126,14,10
