Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"chord_mrx_09_000000",0.906377,0.093623,0.068836
"chord_mrx_09_000001",0.698642,0.064549,0.301358
"chord_mrx_09_000002",0.908208,0.033545,0.091792
"chord_mrx_09_000003",0.918185,0.073245,0.081815
"chord_mrx_09_000004",0.906197,0.093803,0.070833
"chord_mrx_09_000005",0.917193,0.082807,0.082330
"chord_mrx_09_000006",0.749942,0.250058,0.063646
"chord_mrx_09_000007",0.911743,0.088257,0.079500
"chord_mrx_09_000008",0.920044,0.079956,0.038122
"chord_mrx_09_000009",0.922235,0.058470,0.077765
"chord_mrx_09_000010",0.907626,0.069300,0.092374
"chord_mrx_09_000011",0.903101,0.096899,0.055398
"chord_mrx_09_000012",0.822343,0.177657,0.080440
"chord_mrx_09_000013",0.894104,0.105896,0.060387
"chord_mrx_09_000014",0.775866,0.112595,0.224134
"chord_mrx_09_000015",0.799398,0.200602,0.065390
"chord_mrx_09_000016",0.714250,0.285750,0.053827
"chord_mrx_09_000017",0.939882,0.047499,0.060118
"chord_mrx_09_000018",0.950447,0.023001,0.049553
"chord_mrx_09_000019",0.782183,0.217817,0.055496
"chord_mrx_09_000020",0.800687,0.199313,0.036489
"chord_mrx_09_000021",0.849374,0.118870,0.150626
"chord_mrx_09_000022",0.821129,0.153234,0.178871
"chord_mrx_09_000023",0.970563,0.014229,0.029437
"chord_mrx_09_000024",0.956617,0.043383,0.018082
"chord_mrx_09_000025",0.909689,0.075737,0.090311
"chord_mrx_09_000026",0.941882,0.058118,0.028371
"chord_mrx_09_000027",0.810886,0.189114,0.062268
"chord_mrx_09_000028",0.839665,0.160335,0.057492
"chord_mrx_09_000029",0.889704,0.110296,0.073397
"chord_mrx_09_000030",0.870688,0.043283,0.129312
"chord_mrx_09_000031",0.750718,0.188906,0.249282
"chord_mrx_09_000032",0.703592,0.296408,0.130659
"chord_mrx_09_000033",0.920379,0.032145,0.079621
"chord_mrx_09_000034",0.921040,0.032697,0.078960
"chord_mrx_09_000035",0.915256,0.051967,0.084744
"chord_mrx_09_000036",0.945645,0.052626,0.054355
"chord_mrx_09_000037",0.911825,0.088175,0.067320
