Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"chord_mrx_09_000000",0.892114,0.091520,0.107886
"chord_mrx_09_000001",0.520024,0.102285,0.479976
"chord_mrx_09_000002",0.768476,0.067866,0.231524
"chord_mrx_09_000003",0.838105,0.062636,0.161895
"chord_mrx_09_000004",0.891646,0.099273,0.108354
"chord_mrx_09_000005",0.878867,0.072759,0.121133
"chord_mrx_09_000006",0.684194,0.315806,0.075324
"chord_mrx_09_000007",0.881052,0.102236,0.118948
"chord_mrx_09_000008",0.905012,0.080834,0.094988
"chord_mrx_09_000009",0.922431,0.053212,0.077569
"chord_mrx_09_000010",0.874156,0.110548,0.125844
"chord_mrx_09_000011",0.880270,0.119730,0.058411
"chord_mrx_09_000012",0.754376,0.100742,0.245624
"chord_mrx_09_000013",0.914059,0.049619,0.085941
"chord_mrx_09_000014",0.694471,0.054772,0.305529
"chord_mrx_09_000015",0.724168,0.275832,0.057455
"chord_mrx_09_000016",0.749052,0.250948,0.079298
"chord_mrx_09_000017",0.832075,0.051641,0.167925
"chord_mrx_09_000018",0.835576,0.035531,0.164424
"chord_mrx_09_000019",0.663719,0.336281,0.074536
"chord_mrx_09_000020",0.777950,0.222050,0.096864
"chord_mrx_09_000021",0.726081,0.138081,0.273919
"chord_mrx_09_000022",0.786006,0.213994,0.133143
"chord_mrx_09_000023",0.888522,0.065161,0.111478
"chord_mrx_09_000024",0.859760,0.140240,0.060073
"chord_mrx_09_000025",0.890667,0.085854,0.109333
"chord_mrx_09_000026",0.932749,0.067251,0.045015
"chord_mrx_09_000027",0.809931,0.178054,0.190069
"chord_mrx_09_000028",0.887678,0.112322,0.066239
"chord_mrx_09_000029",0.849163,0.150837,0.100741
"chord_mrx_09_000030",0.301707,0.038321,0.698293
"chord_mrx_09_000031",0.734005,0.147683,0.265995
"chord_mrx_09_000032",0.711464,0.288536,0.123603
"chord_mrx_09_000033",0.888066,0.056190,0.111934
"chord_mrx_09_000034",0.911352,0.079031,0.088648
"chord_mrx_09_000035",0.853320,0.084198,0.146680
"chord_mrx_09_000036",0.890712,0.094078,0.109288
"chord_mrx_09_000037",0.828419,0.087606,0.171581
"chord_mrx_09_000038",0.913105,0.070046,0.086895
"chord_mrx_09_000039",0.841675,0.077527,0.158325
"chord_mrx_09_000040",0.916718,0.082728,0.083282
"chord_mrx_09_000041",0.759261,0.240739,0.149013
"chord_mrx_09_000042",0.907848,0.069002,0.092152
"chord_mrx_09_000043",0.689292,0.090123,0.310708
"chord_mrx_09_000044",0.835101,0.164899,0.142436
"chord_mrx_09_000045",0.845472,0.102273,0.154528
"chord_mrx_09_000046",0.876871,0.110114,0.123129
"chord_mrx_09_000047",0.809426,0.039577,0.190574
"chord_mrx_09_000048",0.784943,0.215057,0.065401
"chord_mrx_09_000049",0.685867,0.314133,0.144296
"chord_mrx_09_000050",0.672108,0.327892,0.184457
"chord_mrx_09_000051",0.820354,0.179646,0.128284
"chord_mrx_09_000052",0.766010,0.233990,0.141576
"chord_mrx_09_000053",0.573836,0.061338,0.426164
"chord_mrx_09_000054",0.593254,0.406746,0.103560
"chord_mrx_09_000055",0.827773,0.094842,0.172227
"chord_mrx_09_000056",0.824113,0.054255,0.175887
"chord_mrx_09_000057",0.800733,0.093782,0.199267
"chord_mrx_09_000058",0.718839,0.074808,0.281161
"chord_mrx_09_000059",0.871958,0.105432,0.128042
"chord_mrx_09_000060",0.850770,0.053565,0.149230
"chord_mrx_09_000061",0.890466,0.109534,0.071671
"chord_mrx_09_000062",0.871639,0.069884,0.128361
"chord_mrx_09_000063",0.858619,0.137319,0.141381
"chord_mrx_09_000064",0.833848,0.166152,0.140272
"chord_mrx_09_000065",0.831317,0.168683,0.078247
"chord_mrx_09_000066",0.812189,0.187811,0.159318
"chord_mrx_09_000067",0.775665,0.224335,0.086009
"chord_mrx_09_000068",0.904089,0.079401,0.095911
"chord_mrx_09_000069",0.939021,0.050835,0.060979
"chord_mrx_09_000070",0.910931,0.068318,0.089069
"chord_mrx_09_000071",0.787886,0.212114,0.102898
"chord_mrx_09_000072",0.885722,0.094738,0.114278
"chord_mrx_09_000073",0.205505,0.029725,0.794495
"chord_mrx_09_000074",0.862776,0.071294,0.137224
"chord_mrx_09_000075",0.885545,0.073995,0.114455
"chord_mrx_09_000076",0.843010,0.076794,0.156990
"chord_mrx_09_000077",0.867706,0.064416,0.132294
"chord_mrx_09_000078",0.867828,0.089048,0.132172
"chord_mrx_09_000079",0.831919,0.036997,0.168081
"chord_mrx_09_000080",0.847516,0.152484,0.081783
"chord_mrx_09_000081",0.877225,0.072804,0.122775
"chord_mrx_09_000082",0.873555,0.105441,0.126445
"chord_mrx_09_000083",0.875711,0.051506,0.124289
"chord_mrx_09_000084",0.660027,0.079601,0.339973
"chord_mrx_09_000085",0.857427,0.142573,0.084651
"chord_mrx_09_000086",0.835119,0.128935,0.164881
"chord_mrx_09_000087",0.879329,0.076140,0.120671
"chord_mrx_09_000088",0.858727,0.141273,0.120904
"chord_mrx_09_000089",0.884533,0.091116,0.115467
"chord_mrx_09_000090",0.920981,0.079019,0.072426
"chord_mrx_09_000091",0.633043,0.366957,0.094778
"chord_mrx_09_000092",0.883324,0.116676,0.096668
"chord_mrx_09_000093",0.851489,0.148511,0.067929
"chord_mrx_09_000094",0.779993,0.119239,0.220007
"chord_mrx_09_000095",0.748613,0.251387,0.150315
"chord_mrx_09_000096",0.909974,0.073082,0.090026
"chord_mrx_09_000097",0.724395,0.275605,0.103393
"chord_mrx_09_000098",0.872819,0.113593,0.127181
"chord_mrx_09_000099",0.881985,0.118015,0.113215
"chord_mrx_09_000100",0.845550,0.088386,0.154450
"chord_mrx_09_000101",0.918912,0.081088,0.038579
"chord_mrx_09_000102",0.891226,0.060287,0.108774
"chord_mrx_09_000103",0.864113,0.117948,0.135887
"chord_mrx_09_000104",0.877285,0.095624,0.122715
"chord_mrx_09_000105",0.869348,0.080088,0.130652
"chord_mrx_09_000106",0.916620,0.083380,0.081733
"chord_mrx_09_000107",0.798164,0.201836,0.067755
"chord_mrx_09_000108",0.872349,0.127651,0.108460
"chord_mrx_09_000109",0.832780,0.051418,0.167220
"chord_mrx_09_000110",0.758961,0.241039,0.144631
"chord_mrx_09_000111",0.791488,0.208512,0.031145
"chord_mrx_09_000112",0.876812,0.052515,0.123188
"chord_mrx_09_000113",0.871486,0.100433,0.128514
"chord_mrx_09_000114",0.698931,0.301069,0.097298
"chord_mrx_09_000115",0.807055,0.073353,0.192945
"chord_mrx_09_000116",0.857708,0.053861,0.142292
"chord_mrx_09_000117",0.897137,0.102863,0.076175
"chord_mrx_09_000118",0.792121,0.127177,0.207879
