Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"chord_mrx_09_000000",0.661282,0.338718,0.185340
"chord_mrx_09_000001",0.761088,0.234163,0.238912
"chord_mrx_09_000002",0.636682,0.148127,0.363318
"chord_mrx_09_000003",0.616417,0.126334,0.383583
"chord_mrx_09_000004",0.708585,0.112060,0.291415
"chord_mrx_09_000005",0.817201,0.182799,0.141421
"chord_mrx_09_000006",0.751285,0.164510,0.248715
"chord_mrx_09_000007",0.828402,0.103633,0.171598
"chord_mrx_09_000008",0.848339,0.142523,0.151661
"chord_mrx_09_000009",0.839442,0.112473,0.160558
"chord_mrx_09_000010",0.659691,0.106333,0.340309
"chord_mrx_09_000011",0.619575,0.085921,0.380425
"chord_mrx_09_000012",0.596697,0.095633,0.403303
"chord_mrx_09_000013",0.826119,0.173881,0.147963
"chord_mrx_09_000014",0.586487,0.086384,0.413513
"chord_mrx_09_000015",0.755081,0.244919,0.123056
"chord_mrx_09_000016",0.603780,0.396220,0.104708
"chord_mrx_09_000017",0.770565,0.229435,0.189561
"chord_mrx_09_000018",0.592834,0.031987,0.407166
"chord_mrx_09_000019",0.495716,0.504284,0.136707
"chord_mrx_09_000020",0.551228,0.448772,0.102130
"chord_mrx_09_000021",0.719000,0.226476,0.281000
"chord_mrx_09_000022",0.776056,0.223944,0.176063
"chord_mrx_09_000023",0.725496,0.100353,0.274504
"chord_mrx_09_000024",0.651711,0.079513,0.348289
"chord_mrx_09_000025",0.574065,0.425935,0.117984
"chord_mrx_09_000026",0.629353,0.132650,0.370647
"chord_mrx_09_000027",0.808339,0.191661,0.188092
"chord_mrx_09_000028",0.683593,0.316407,0.099300
"chord_mrx_09_000029",0.672869,0.327131,0.174140
"chord_mrx_09_000030",0.231717,0.049945,0.768283
"chord_mrx_09_000031",0.650788,0.119076,0.349212
"chord_mrx_09_000032",0.701544,0.298456,0.127250
"chord_mrx_09_000033",0.873057,0.082987,0.126943
"chord_mrx_09_000034",0.788584,0.115979,0.211416
"chord_mrx_09_000035",0.842064,0.157936,0.152039
"chord_mrx_09_000036",0.760442,0.141010,0.239558
"chord_mrx_09_000037",0.734131,0.148168,0.265869
"chord_mrx_09_000038",0.856047,0.106568,0.143953
"chord_mrx_09_000039",0.803795,0.104587,0.196205
"chord_mrx_09_000040",0.776241,0.223759,0.070911
"chord_mrx_09_000041",0.705141,0.217033,0.294859
"chord_mrx_09_000042",0.787341,0.107432,0.212659
"chord_mrx_09_000043",0.613368,0.150550,0.386632
"chord_mrx_09_000044",0.781469,0.218247,0.218531
"chord_mrx_09_000045",0.649576,0.104648,0.350424
"chord_mrx_09_000046",0.678161,0.321839,0.106787
