Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"chord_mrx_09_000000",0.895901,0.091287,0.104099
"chord_mrx_09_000001",0.825193,0.174807,0.085256
"chord_mrx_09_000002",0.941831,0.051165,0.058169
"chord_mrx_09_000003",0.904903,0.092517,0.095097
"chord_mrx_09_000004",0.885719,0.114281,0.087677
"chord_mrx_09_000005",0.897878,0.102122,0.099605
"chord_mrx_09_000006",0.680209,0.319791,0.056659
"chord_mrx_09_000007",0.877909,0.122091,0.109968
"chord_mrx_09_000008",0.828813,0.171187,0.045814
"chord_mrx_09_000009",0.936270,0.063730,0.056036
"chord_mrx_09_000010",0.881514,0.084805,0.118486
"chord_mrx_09_000011",0.897373,0.102627,0.055244
"chord_mrx_09_000012",0.891485,0.108515,0.079771
"chord_mrx_09_000013",0.917886,0.082114,0.063082
"chord_mrx_09_000014",0.841045,0.106702,0.158955
"chord_mrx_09_000015",0.798102,0.201898,0.080231
"chord_mrx_09_000016",0.727627,0.272373,0.100508
"chord_mrx_09_000017",0.891292,0.108708,0.060988
"chord_mrx_09_000018",0.880878,0.119122,0.018473
"chord_mrx_09_000019",0.731675,0.268325,0.077052
"chord_mrx_09_000020",0.720894,0.279106,0.059360
"chord_mrx_09_000021",0.862568,0.137432,0.094618
"chord_mrx_09_000022",0.839020,0.160980,0.098816
"chord_mrx_09_000023",0.943622,0.035132,0.056378
"chord_mrx_09_000024",0.879107,0.120893,0.053140
"chord_mrx_09_000025",0.904905,0.095095,0.084747
"chord_mrx_09_000026",0.940330,0.059670,0.038489
"chord_mrx_09_000027",0.812168,0.184774,0.187832
"chord_mrx_09_000028",0.855769,0.144231,0.059203
"chord_mrx_09_000029",0.916053,0.083947,0.077764
"chord_mrx_09_000030",0.445391,0.088529,0.554609
"chord_mrx_09_000031",0.766614,0.214778,0.233386
"chord_mrx_09_000032",0.633982,0.366018,0.066191
"chord_mrx_09_000033",0.943831,0.036460,0.056169
"chord_mrx_09_000034",0.918577,0.081423,0.076980
"chord_mrx_09_000035",0.897392,0.064109,0.102608
"chord_mrx_09_000036",0.923528,0.076472,0.061084
"chord_mrx_09_000037",0.904453,0.081858,0.095547
"chord_mrx_09_000038",0.923732,0.076268,0.063607
"chord_mrx_09_000039",0.902355,0.071546,0.097645
"chord_mrx_09_000040",0.931732,0.068268,0.055857
"chord_mrx_09_000041",0.784238,0.215762,0.083926
"chord_mrx_09_000042",0.740759,0.259241,0.039445
"chord_mrx_09_000043",0.879477,0.120523,0.081887
"chord_mrx_09_000044",0.910738,0.089262,0.076460
"chord_mrx_09_000045",0.885176,0.114824,0.104167
"chord_mrx_09_000046",0.891365,0.108635,0.053149
"chord_mrx_09_000047",0.895421,0.077220,0.104579
"chord_mrx_09_000048",0.878468,0.121532,0.074285
"chord_mrx_09_000049",0.797889,0.202111,0.078758
"chord_mrx_09_000050",0.646687,0.353313,0.183058
"chord_mrx_09_000051",0.864516,0.094366,0.135484
"chord_mrx_09_000052",0.752688,0.247312,0.087789
"chord_mrx_09_000053",0.813233,0.090704,0.186767
"chord_mrx_09_000054",0.331621,0.668379,0.067792
"chord_mrx_09_000055",0.901087,0.098913,0.051968
"chord_mrx_09_000056",0.919379,0.048426,0.080621
"chord_mrx_09_000057",0.941378,0.058622,0.052074
"chord_mrx_09_000058",0.938678,0.061322,0.060994
"chord_mrx_09_000059",0.908919,0.091081,0.073999
"chord_mrx_09_000060",0.909172,0.090828,0.053436
"chord_mrx_09_000061",0.865663,0.134337,0.066938
"chord_mrx_09_000062",0.915363,0.084637,0.052370
"chord_mrx_09_000063",0.913958,0.068206,0.086042
"chord_mrx_09_000064",0.831664,0.168336,0.079189
"chord_mrx_09_000065",0.832497,0.167503,0.082306
"chord_mrx_09_000066",0.843406,0.156594,0.107577
"chord_mrx_09_000067",0.935427,0.064573,0.049002
"chord_mrx_09_000068",0.870640,0.129360,0.082340
"chord_mrx_09_000069",0.914105,0.085895,0.048573
"chord_mrx_09_000070",0.936849,0.063151,0.060141
"chord_mrx_09_000071",0.626049,0.373951,0.052923
"chord_mrx_09_000072",0.923755,0.076245,0.065774
"chord_mrx_09_000073",0.340028,0.119558,0.659972
"chord_mrx_09_000074",0.914336,0.085664,0.076330
"chord_mrx_09_000075",0.899193,0.100807,0.065513
"chord_mrx_09_000076",0.899647,0.065694,0.100353
"chord_mrx_09_000077",0.921434,0.078566,0.068011
"chord_mrx_09_000078",0.941570,0.054208,0.058430
"chord_mrx_09_000079",0.913369,0.029813,0.086631
"chord_mrx_09_000080",0.658762,0.341238,0.069970
"chord_mrx_09_000081",0.891921,0.108079,0.057374
"chord_mrx_09_000082",0.919565,0.080435,0.078451
"chord_mrx_09_000083",0.908927,0.086845,0.091073
"chord_mrx_09_000084",0.859430,0.081555,0.140570
"chord_mrx_09_000085",0.858886,0.141114,0.068751
"chord_mrx_09_000086",0.858162,0.141838,0.130844
"chord_mrx_09_000087",0.893578,0.106422,0.044358
"chord_mrx_09_000088",0.884769,0.115231,0.074486
"chord_mrx_09_000089",0.887341,0.098375,0.112659
"chord_mrx_09_000090",0.908633,0.091367,0.060380
"chord_mrx_09_000091",0.617098,0.382902,0.069599
"chord_mrx_09_000092",0.901369,0.098631,0.065822
"chord_mrx_09_000093",0.919109,0.080891,0.076576
"chord_mrx_09_000094",0.809180,0.190820,0.102651
"chord_mrx_09_000095",0.595835,0.404165,0.068061
"chord_mrx_09_000096",0.945382,0.048946,0.054618
"chord_mrx_09_000097",0.832482,0.167518,0.095576
"chord_mrx_09_000098",0.895396,0.104604,0.047972
"chord_mrx_09_000099",0.867630,0.132370,0.060583
"chord_mrx_09_000100",0.941336,0.046955,0.058664
"chord_mrx_09_000101",0.920129,0.079871,0.044426
"chord_mrx_09_000102",0.840858,0.071955,0.159142
"chord_mrx_09_000103",0.749941,0.250059,0.068117
"chord_mrx_09_000104",0.918104,0.081896,0.072413
"chord_mrx_09_000105",0.908370,0.066127,0.091630
"chord_mrx_09_000106",0.925354,0.074646,0.035674
"chord_mrx_09_000107",0.743120,0.256880,0.069710
"chord_mrx_09_000108",0.907558,0.084517,0.092442
"chord_mrx_09_000109",0.908486,0.091514,0.084388
"chord_mrx_09_000110",0.564938,0.435062,0.060446
"chord_mrx_09_000111",0.741789,0.258211,0.052160
"chord_mrx_09_000112",0.928844,0.069371,0.071156
"chord_mrx_09_000113",0.892113,0.107887,0.089186
"chord_mrx_09_000114",0.632344,0.367656,0.079431
"chord_mrx_09_000115",0.834938,0.165062,0.117857
"chord_mrx_09_000116",0.883719,0.084439,0.116281
"chord_mrx_09_000117",0.917506,0.082494,0.054914
"chord_mrx_09_000118",0.885347,0.114653,0.079201
