Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"chord_mrx_09_000000",0.885068,0.114932,0.099946
"chord_mrx_09_000001",0.436824,0.563176,0.032279
"chord_mrx_09_000002",0.909804,0.090196,0.035456
"chord_mrx_09_000003",0.895112,0.104888,0.071265
"chord_mrx_09_000004",0.873609,0.126391,0.111112
"chord_mrx_09_000005",0.791412,0.208588,0.104932
"chord_mrx_09_000006",0.698429,0.301571,0.065608
"chord_mrx_09_000007",0.930476,0.069524,0.064503
"chord_mrx_09_000008",0.776965,0.223035,0.097204
"chord_mrx_09_000009",0.935675,0.064325,0.062468
"chord_mrx_09_000010",0.898636,0.064507,0.101364
"chord_mrx_09_000011",0.795672,0.204328,0.128543
"chord_mrx_09_000012",0.764107,0.118042,0.235893
"chord_mrx_09_000013",0.903882,0.096118,0.093565
"chord_mrx_09_000014",0.623056,0.093638,0.376944
"chord_mrx_09_000015",0.488356,0.511644,0.042064
"chord_mrx_09_000016",0.703809,0.296191,0.099858
"chord_mrx_09_000017",0.813274,0.180285,0.186726
"chord_mrx_09_000018",0.883603,0.084918,0.116397
"chord_mrx_09_000019",0.587523,0.412477,0.178920
"chord_mrx_09_000020",0.730858,0.269142,0.035484
"chord_mrx_09_000021",0.865967,0.134033,0.033627
"chord_mrx_09_000022",0.799324,0.200676,0.096511
"chord_mrx_09_000023",0.949902,0.050098,0.042775
"chord_mrx_09_000024",0.806870,0.193130,0.127923
"chord_mrx_09_000025",0.727809,0.272191,0.104097
"chord_mrx_09_000026",0.946889,0.053111,0.034965
"chord_mrx_09_000027",0.722530,0.277470,0.176446
"chord_mrx_09_000028",0.831849,0.168151,0.069787
"chord_mrx_09_000029",0.811424,0.188576,0.152342
"chord_mrx_09_000030",0.368714,0.080843,0.631286
"chord_mrx_09_000031",0.754475,0.166781,0.245525
"chord_mrx_09_000032",0.538213,0.461787,0.189549
"chord_mrx_09_000033",0.931477,0.068523,0.062906
"chord_mrx_09_000034",0.938360,0.040877,0.061640
"chord_mrx_09_000035",0.882669,0.117331,0.096816
"chord_mrx_09_000036",0.804655,0.195345,0.159892
"chord_mrx_09_000037",0.824399,0.152297,0.175601
"chord_mrx_09_000038",0.859444,0.128163,0.140556
"chord_mrx_09_000039",0.774181,0.112246,0.225819
"chord_mrx_09_000040",0.849115,0.150885,0.105425
"chord_mrx_09_000041",0.765212,0.234788,0.028622
"chord_mrx_09_000042",0.887937,0.096372,0.112063
"chord_mrx_09_000043",0.749942,0.109967,0.250058
"chord_mrx_09_000044",0.832432,0.167568,0.071786
"chord_mrx_09_000045",0.860655,0.139345,0.120125
"chord_mrx_09_000046",0.672344,0.327656,0.167253
