Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"chord_mrx_09_000000",0.932999,0.044857,0.067001
"chord_mrx_09_000001",0.457386,0.103272,0.542614
"chord_mrx_09_000002",0.903913,0.091608,0.096087
"chord_mrx_09_000003",0.804657,0.195343,0.067470
"chord_mrx_09_000004",0.872743,0.127257,0.081831
"chord_mrx_09_000005",0.910349,0.086519,0.089651
"chord_mrx_09_000006",0.725131,0.274869,0.068989
"chord_mrx_09_000007",0.925197,0.074803,0.059386
"chord_mrx_09_000008",0.881195,0.118805,0.043653
"chord_mrx_09_000009",0.941995,0.058005,0.048738
"chord_mrx_09_000010",0.844225,0.155775,0.103873
"chord_mrx_09_000011",0.909782,0.090218,0.034241
"chord_mrx_09_000012",0.902298,0.093451,0.097702
"chord_mrx_09_000013",0.895409,0.060349,0.104591
"chord_mrx_09_000014",0.815922,0.177691,0.184078
"chord_mrx_09_000015",0.677934,0.322066,0.046725
"chord_mrx_09_000016",0.618078,0.381922,0.044176
"chord_mrx_09_000017",0.943635,0.056365,0.048169
"chord_mrx_09_000018",0.962855,0.037145,0.030967
"chord_mrx_09_000019",0.722532,0.277468,0.063330
"chord_mrx_09_000020",0.698105,0.301895,0.094933
"chord_mrx_09_000021",0.779541,0.151586,0.220459
"chord_mrx_09_000022",0.865293,0.134707,0.100102
"chord_mrx_09_000023",0.920999,0.030002,0.079001
"chord_mrx_09_000024",0.842612,0.157388,0.050219
"chord_mrx_09_000025",0.904947,0.095053,0.079032
"chord_mrx_09_000026",0.893502,0.037568,0.106498
"chord_mrx_09_000027",0.801382,0.198618,0.178471
"chord_mrx_09_000028",0.844297,0.155703,0.059208
"chord_mrx_09_000029",0.848021,0.151979,0.088355
"chord_mrx_09_000030",0.577246,0.022137,0.422754
"chord_mrx_09_000031",0.745790,0.178223,0.254210
"chord_mrx_09_000032",0.730493,0.269507,0.125447
"chord_mrx_09_000033",0.933863,0.043142,0.066137
"chord_mrx_09_000034",0.917731,0.057596,0.082269
"chord_mrx_09_000035",0.901661,0.074906,0.098339
"chord_mrx_09_000036",0.883293,0.116707,0.064357
