Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"chord_mrx_09_000000",0.860651,0.118609,0.139349
"chord_mrx_09_000001",0.551823,0.448177,0.248394
"chord_mrx_09_000002",0.629174,0.370826,0.050024
"chord_mrx_09_000003",0.820139,0.098888,0.179861
"chord_mrx_09_000004",0.827374,0.172626,0.071611
"chord_mrx_09_000005",0.768294,0.231706,0.130370
"chord_mrx_09_000006",0.706392,0.293608,0.047031
"chord_mrx_09_000007",0.889769,0.053536,0.110231
"chord_mrx_09_000008",0.805849,0.194151,0.053944
"chord_mrx_09_000009",0.899822,0.100178,0.076376
"chord_mrx_09_000010",0.790868,0.098519,0.209132
"chord_mrx_09_000011",0.908258,0.091742,0.088354
"chord_mrx_09_000012",0.754179,0.102813,0.245821
"chord_mrx_09_000013",0.889296,0.110704,0.062744
"chord_mrx_09_000014",0.656072,0.064905,0.343928
"chord_mrx_09_000015",0.606662,0.393338,0.052074
"chord_mrx_09_000016",0.593564,0.406436,0.042905
"chord_mrx_09_000017",0.854258,0.121850,0.145742
"chord_mrx_09_000018",0.890444,0.034512,0.109556
"chord_mrx_09_000019",0.443070,0.556930,0.116495
"chord_mrx_09_000020",0.582472,0.417528,0.129896
"chord_mrx_09_000021",0.822776,0.156956,0.177224
"chord_mrx_09_000022",0.873194,0.126806,0.121881
"chord_mrx_09_000023",0.898841,0.101159,0.047467
"chord_mrx_09_000024",0.793800,0.206200,0.124260
"chord_mrx_09_000025",0.824374,0.175626,0.123664
"chord_mrx_09_000026",0.904932,0.081128,0.095068
"chord_mrx_09_000027",0.804189,0.195811,0.136972
"chord_mrx_09_000028",0.867971,0.132029,0.087071
"chord_mrx_09_000029",0.730250,0.269750,0.048937
"chord_mrx_09_000030",0.403851,0.084530,0.596149
"chord_mrx_09_000031",0.788446,0.155199,0.211554
"chord_mrx_09_000032",0.687064,0.312936,0.094502
"chord_mrx_09_000033",0.943812,0.026800,0.056188
"chord_mrx_09_000034",0.902711,0.097289,0.078041
"chord_mrx_09_000035",0.860268,0.139732,0.107870
"chord_mrx_09_000036",0.892581,0.107419,0.082413
"chord_mrx_09_000037",0.862277,0.081730,0.137723
"chord_mrx_09_000038",0.927494,0.072506,0.051864
"chord_mrx_09_000039",0.847971,0.082508,0.152029
"chord_mrx_09_000040",0.893552,0.106448,0.075214
"chord_mrx_09_000041",0.731262,0.268738,0.182695
"chord_mrx_09_000042",0.692145,0.307855,0.065319
"chord_mrx_09_000043",0.713038,0.076306,0.286962
"chord_mrx_09_000044",0.831365,0.156970,0.168635
"chord_mrx_09_000045",0.764627,0.235373,0.074612
"chord_mrx_09_000046",0.874513,0.125487,0.021527
"chord_mrx_09_000047",0.876362,0.123638,0.109309
"chord_mrx_09_000048",0.900723,0.099277,0.071558
"chord_mrx_09_000049",0.793371,0.095449,0.206629
"chord_mrx_09_000050",0.614567,0.385433,0.192347
"chord_mrx_09_000051",0.848464,0.151536,0.118415
"chord_mrx_09_000052",0.767997,0.232003,0.205709
"chord_mrx_09_000053",0.687642,0.113903,0.312358
"chord_mrx_09_000054",0.561633,0.438367,0.091861
"chord_mrx_09_000055",0.869530,0.130470,0.115912
"chord_mrx_09_000056",0.902411,0.072863,0.097589
"chord_mrx_09_000057",0.883135,0.116865,0.028437
"chord_mrx_09_000058",0.894892,0.105108,0.101936
"chord_mrx_09_000059",0.790222,0.209778,0.120381
"chord_mrx_09_000060",0.812595,0.187405,0.097737
"chord_mrx_09_000061",0.864933,0.135067,0.099805
"chord_mrx_09_000062",0.924691,0.075309,0.050606
"chord_mrx_09_000063",0.887182,0.096414,0.112818
"chord_mrx_09_000064",0.780167,0.219833,0.123994
"chord_mrx_09_000065",0.745950,0.254050,0.073736
"chord_mrx_09_000066",0.810916,0.189084,0.130189
"chord_mrx_09_000067",0.725733,0.274267,0.033008
"chord_mrx_09_000068",0.795006,0.204994,0.048574
"chord_mrx_09_000069",0.873575,0.126425,0.056513
"chord_mrx_09_000070",0.910471,0.089529,0.086773
"chord_mrx_09_000071",0.804786,0.195214,0.077349
"chord_mrx_09_000072",0.919033,0.067374,0.080967
"chord_mrx_09_000073",0.308125,0.030099,0.691875
"chord_mrx_09_000074",0.820575,0.179425,0.032924
"chord_mrx_09_000075",0.919791,0.080209,0.073499
"chord_mrx_09_000076",0.901414,0.077617,0.098586
"chord_mrx_09_000077",0.930176,0.069824,0.057974
"chord_mrx_09_000078",0.900212,0.099788,0.081716
"chord_mrx_09_000079",0.752574,0.088731,0.247426
"chord_mrx_09_000080",0.615300,0.384700,0.072073
"chord_mrx_09_000081",0.894316,0.078325,0.105684
"chord_mrx_09_000082",0.899015,0.084240,0.100985
"chord_mrx_09_000083",0.888896,0.079292,0.111104
"chord_mrx_09_000084",0.801702,0.099940,0.198298
"chord_mrx_09_000085",0.878141,0.100987,0.121859
"chord_mrx_09_000086",0.837765,0.162235,0.107397
"chord_mrx_09_000087",0.894590,0.105410,0.078243
"chord_mrx_09_000088",0.779885,0.220115,0.057034
"chord_mrx_09_000089",0.904794,0.085220,0.095206
"chord_mrx_09_000090",0.915416,0.066894,0.084584
"chord_mrx_09_000091",0.691437,0.308563,0.063462
"chord_mrx_09_000092",0.772314,0.227686,0.110216
"chord_mrx_09_000093",0.882549,0.117451,0.099614
"chord_mrx_09_000094",0.751536,0.248464,0.094637
"chord_mrx_09_000095",0.645481,0.354519,0.090665
"chord_mrx_09_000096",0.935566,0.064434,0.051617
"chord_mrx_09_000097",0.782442,0.217558,0.108670
"chord_mrx_09_000098",0.958088,0.041912,0.013664
"chord_mrx_09_000099",0.890897,0.109103,0.089546
"chord_mrx_09_000100",0.657730,0.342270,0.081244
"chord_mrx_09_000101",0.879186,0.120814,0.044472
"chord_mrx_09_000102",0.893545,0.106455,0.060715
"chord_mrx_09_000103",0.724230,0.275770,0.098537
"chord_mrx_09_000104",0.890905,0.072630,0.109095
"chord_mrx_09_000105",0.933349,0.053415,0.066651
"chord_mrx_09_000106",0.816286,0.183714,0.071991
"chord_mrx_09_000107",0.553178,0.446822,0.051819
"chord_mrx_09_000108",0.765251,0.234749,0.113300
"chord_mrx_09_000109",0.804597,0.056920,0.195403
"chord_mrx_09_000110",0.629422,0.370578,0.070473
"chord_mrx_09_000111",0.793466,0.206534,0.048752
"chord_mrx_09_000112",0.891722,0.077047,0.108278
"chord_mrx_09_000113",0.846435,0.153565,0.126619
"chord_mrx_09_000114",0.685933,0.314067,0.071991
"chord_mrx_09_000115",0.832432,0.167568,0.135556
"chord_mrx_09_000116",0.802805,0.050600,0.197195
"chord_mrx_09_000117",0.908896,0.091104,0.032071
"chord_mrx_09_000118",0.651968,0.348032,0.124306
"chord_mrx_09_000119",0.686704,0.313296,0.169799
"chord_mrx_09_000120",0.733866,0.200983,0.266134
"chord_mrx_09_000121",0.747503,0.252497,0.100014
"chord_mrx_09_000122",0.762075,0.237925,0.208762
"chord_mrx_09_000123",0.868469,0.131531,0.120393
"chord_mrx_09_000124",0.632236,0.367764,0.077451
"chord_mrx_09_000125",0.893108,0.106892,0.099683
"chord_mrx_09_000126",0.733850,0.266150,0.075210
"chord_mrx_09_000127",0.779718,0.220282,0.150299
"chord_mrx_09_000128",0.875294,0.124706,0.063093
"chord_mrx_09_000129",0.912557,0.087443,0.083999
"chord_mrx_09_000130",0.797071,0.202929,0.051550
"chord_mrx_09_000131",0.903174,0.048565,0.096826
"chord_mrx_09_000132",0.883708,0.096545,0.116292
"chord_mrx_09_000133",0.879559,0.120441,0.096682
"chord_mrx_09_000134",0.925156,0.074844,0.057848
"chord_mrx_09_000135",0.941267,0.043835,0.058733
"chord_mrx_09_000136",0.870261,0.116120,0.129739
"chord_mrx_09_000137",0.880839,0.119161,0.071909
"chord_mrx_09_000138",0.858274,0.141726,0.110479
"chord_mrx_09_000139",0.956579,0.029744,0.043421
"chord_mrx_09_000140",0.644884,0.355116,0.060223
"chord_mrx_09_000141",0.906278,0.093722,0.074465
"chord_mrx_09_000142",0.862812,0.137188,0.082627
"chord_mrx_09_000143",0.739881,0.260119,0.119453
"chord_mrx_09_000144",0.821668,0.017329,0.178332
"chord_mrx_09_000145",0.514883,0.485117,0.081068
"chord_mrx_09_000146",0.711744,0.288256,0.134836
"chord_mrx_09_000147",0.594939,0.405061,0.183425
"chord_mrx_09_000148",0.858186,0.141814,0.090134
"chord_mrx_09_000149",0.900919,0.029165,0.099081
"chord_mrx_09_000150",0.892822,0.044531,0.107178
"chord_mrx_09_000151",0.688945,0.311055,0.239222
"chord_mrx_09_000152",0.386395,0.613605,0.073322
"chord_mrx_09_000153",0.761823,0.238177,0.074415
"chord_mrx_09_000154",0.920698,0.079302,0.034817
"chord_mrx_09_000155",0.844985,0.155015,0.068017
"chord_mrx_09_000156",0.830502,0.169498,0.073998
"chord_mrx_09_000157",0.857122,0.142878,0.096073
"chord_mrx_09_000158",0.958960,0.041040,0.036538
"chord_mrx_09_000159",0.862709,0.137291,0.056801
"chord_mrx_09_000160",0.854003,0.123923,0.145997
"chord_mrx_09_000161",0.895800,0.104200,0.065710
"chord_mrx_09_000162",0.888431,0.100696,0.111569
"chord_mrx_09_000163",0.823886,0.176114,0.091283
"chord_mrx_09_000164",0.947232,0.052768,0.045376
"chord_mrx_09_000165",0.811513,0.188487,0.061342
"chord_mrx_09_000166",0.907679,0.073874,0.092321
"chord_mrx_09_000167",0.736901,0.263099,0.128253
"chord_mrx_09_000168",0.893341,0.106659,0.102287
"chord_mrx_09_000169",0.865714,0.134286,0.079414
"chord_mrx_09_000170",0.918453,0.069451,0.081547
"chord_mrx_09_000171",0.604923,0.395077,0.122159
"chord_mrx_09_000172",0.819488,0.077601,0.180512
"chord_mrx_09_000173",0.794339,0.205661,0.092548
"chord_mrx_09_000174",0.775101,0.224899,0.140361
"chord_mrx_09_000175",0.844369,0.155631,0.078529
"chord_mrx_09_000176",0.640267,0.359733,0.147866
"chord_mrx_09_000177",0.789238,0.210762,0.147583
"chord_mrx_09_000178",0.572620,0.427380,0.075991
"chord_mrx_09_000179",0.820337,0.179663,0.085881
"chord_mrx_09_000180",0.671946,0.328054,0.061429
"chord_mrx_09_000181",0.819200,0.180800,0.060144
"chord_mrx_09_000182",0.945121,0.054879,0.023295
"chord_mrx_09_000183",0.652366,0.347634,0.056215
"chord_mrx_09_000184",0.784870,0.215130,0.208821
"chord_mrx_09_000185",0.911496,0.074421,0.088504
"chord_mrx_09_000186",0.907338,0.092662,0.075545
"chord_mrx_09_000187",0.907280,0.092720,0.089131
"chord_mrx_09_000188",0.712614,0.287386,0.023018
"chord_mrx_09_000189",0.831090,0.106273,0.168910
"chord_mrx_09_000190",0.456267,0.147513,0.543733
"chord_mrx_09_000191",0.811068,0.188932,0.139496
"chord_mrx_09_000192",0.915699,0.084301,0.072487
"chord_mrx_09_000193",0.785646,0.148630,0.214354
"chord_mrx_09_000194",0.870738,0.129262,0.127542
"chord_mrx_09_000195",0.868580,0.131420,0.109049
"chord_mrx_09_000196",0.784310,0.215690,0.052666
