Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"chord_mrx_09_000000",0.361864,0.074007,0.638136
"chord_mrx_09_000001",0.097067,0.007508,0.902933
"chord_mrx_09_000002",0.314539,0.055601,0.685461
"chord_mrx_09_000003",0.262472,0.068329,0.737528
"chord_mrx_09_000004",0.457415,0.093123,0.542585
"chord_mrx_09_000005",0.376989,0.059791,0.623011
"chord_mrx_09_000006",0.305733,0.047587,0.694267
"chord_mrx_09_000007",0.442534,0.104506,0.557466
"chord_mrx_09_000008",0.408891,0.055769,0.591109
"chord_mrx_09_000009",0.381418,0.084428,0.618582
"chord_mrx_09_000010",0.494034,0.137087,0.505966
"chord_mrx_09_000011",0.299319,0.054376,0.700681
"chord_mrx_09_000012",0.387367,0.049201,0.612633
"chord_mrx_09_000013",0.427295,0.088969,0.572705
"chord_mrx_09_000014",0.208042,0.031425,0.791958
"chord_mrx_09_000015",0.480143,0.157152,0.519857
"chord_mrx_09_000016",0.400552,0.082563,0.599448
"chord_mrx_09_000017",0.350313,0.074354,0.649687
"chord_mrx_09_000018",0.296505,0.026875,0.703495
"chord_mrx_09_000019",0.519410,0.121385,0.480590
"chord_mrx_09_000020",0.519923,0.135888,0.480077
"chord_mrx_09_000021",0.293846,0.052884,0.706154
"chord_mrx_09_000022",0.349346,0.067416,0.650654
"chord_mrx_09_000023",0.392934,0.064510,0.607066
"chord_mrx_09_000024",0.362422,0.076118,0.637578
"chord_mrx_09_000025",0.584140,0.148436,0.415860
"chord_mrx_09_000026",0.344454,0.066792,0.655546
"chord_mrx_09_000027",0.386069,0.057467,0.613931
"chord_mrx_09_000028",0.505680,0.127918,0.494320
"chord_mrx_09_000029",0.477920,0.096450,0.522080
"chord_mrx_09_000030",0.117933,0.033672,0.882067
"chord_mrx_09_000031",1.000000,0.000000,0.000000
"chord_mrx_09_000032",0.639927,0.207194,0.360073
"chord_mrx_09_000033",0.321325,0.083024,0.678675
"chord_mrx_09_000034",0.371721,0.062137,0.628279
"chord_mrx_09_000035",0.472493,0.104907,0.527507
"chord_mrx_09_000036",0.413322,0.095486,0.586678
"chord_mrx_09_000037",0.378072,0.095750,0.621928
"chord_mrx_09_000038",0.452257,0.080351,0.547743
"chord_mrx_09_000039",0.365903,0.068100,0.634097
"chord_mrx_09_000040",0.496625,0.086856,0.503375
"chord_mrx_09_000041",0.363130,0.084193,0.636870
"chord_mrx_09_000042",0.305087,0.034300,0.694913
